nValue	nExpPercent	nMaxExp
0	2	2000
1	5	4000
2	5	6000
3	5	8000
4	10	12000
5	10	16000
6	10	20000
7	15	30000
8	15	35000
9	15	40000
10	20	50000
11	20	50000
12	20	50000
13	20	50000
14	20	50000
15	20	50000
16	20	50000
17	20	50000
18	20	50000
19	20	50000
20	20	50000
21	20	50000
22	20	50000
23	20	50000
24	20	50000
25	20	50000
26	20	50000
27	20	50000
28	20	50000
29	20	50000
30	20	50000
31	20	50000
32	20	50000
33	20	50000
34	20	50000
35	20	50000
36	20	50000
37	20	50000
38	20	50000
39	20	50000
40	20	50000
41	20	50000
42	20	50000
43	20	50000
44	20	50000
45	20	50000
46	20	50000
47	20	50000
48	20	50000
49	20	50000
50	20	50000
51	20	50000
52	20	50000
53	20	50000
54	20	50000
55	20	50000
56	20	50000
57	20	50000
58	20	50000
59	20	50000
60	20	50000
61	20	50000
62	20	50000
63	20	50000
64	20	50000
65	20	50000
66	20	50000
67	20	50000
68	20	50000
69	20	50000
70	20	50000
71	20	50000
72	20	50000
73	20	50000
74	20	50000
75	20	50000
76	20	50000
77	20	50000
78	20	50000
79	20	50000
80	20	50000
81	20	50000
82	20	50000
83	20	50000
84	20	50000
85	20	50000
86	20	50000
87	20	50000
88	20	50000
89	20	50000
90	20	50000
91	20	50000
92	20	50000
93	20	50000
94	20	50000
95	20	50000
96	20	50000
97	20	50000
98	20	50000
99	20	50000
100	20	50000
