szNpcName	PosX	PosY
Snake	57855	40299
Snake	58622	40747
Snake	57936	41719
Snake	57115	42022
Snake	56317	41193
Snake	56501	39854
Snake	57418	38530
Snake	57250	37462
Snake	58622	38227
Snake	59180	38690
Snake	59411	40045
Snake	59227	41193
Snake	58271	39168
Snake	57226	39343
Snake	56516	38578
Snake	58047	37733
PeachBlossomBoss	45198	58416
GuWeng	62396	83569
WuGong	61224	84220
WuGong	61398	83004
WuGong	55702	80748
WuGong	61865	81333
WuGong	62646	81898
WuGong	63438	81659
WuGong	63861	82223
WuGong	64002	82831
WuGong	63959	83721
WuGong	63340	84415
WuGong	62396	84610
WuGong	60530	83894
WuGong	60302	82635
WuGong	61018	81225
WuGong	62114	82353
WuGong	63199	82701
WuGongBoss	76991	68009
Drum	83790	99729
SpiderBoss	82074	96456
XieZi	64827	132007
XieZi	63622	130662
XieZi	63449	129642
XieZi	63742	127623
XieZi	68429	129948
XieZi	65734	127655
XieZi	64914	130184
XieZi	64740	128839
XieZi	65836	131747
XieZi	66954	131117
XieZi	66823	129902
XieZi	67670	129142
XieZi	65877	130538
XieZi	65549	126634
XieZi	66672	126972
XieZi	66867	128014
Prison	67312	134828
KunKun	68169	136044
XieZiBoss	48496	156226
HuFa	35019	139644
HuFa	34771	141946
HuFa	34520	140887
HuFa	35584	139017
HuFa	36474	139398
GuWangBoss	20414	163887
