nScore	szTimeFrameStart	szTimeFrameEnd	nAwardKey
70	OpenLevel69	OpenLevel79	21
70	OpenLevel79	OpenLevel99	24
70	OpenLevel99	OpenLevel109	27
70	OpenLevel109	OpenLevel119	30
70	OpenLevel119	OpenLevel129	87
70	OpenLevel129	OpenLevel139	52
70	OpenLevel139	OpenLevel159	55
70	OpenLevel159	OpenLevel169	58
70	OpenLevel169	OpenLevel189	61
70	OpenLevel189	OpenLevel199	64
70	OpenLevel199	OpenLevel219	67
70	OpenLevel219	OpenLevel229	97
70	OpenLevel229	OpenLevel249	100
70	OpenLevel249	OpenLevel259	103
70	OpenLevel259	OpenLevel279	106
70	OpenLevel279	OpenLevel289	109
70	OpenLevel289		112
50	OpenLevel69	OpenLevel79	20
50	OpenLevel79	OpenLevel99	23
50	OpenLevel99	OpenLevel109	26
50	OpenLevel109	OpenLevel119	29
50	OpenLevel119	OpenLevel129	86
50	OpenLevel129	OpenLevel139	53
50	OpenLevel139	OpenLevel159	56
50	OpenLevel159	OpenLevel169	59
50	OpenLevel169	OpenLevel189	62
50	OpenLevel189	OpenLevel199	65
50	OpenLevel199	OpenLevel219	68
50	OpenLevel219	OpenLevel229	98
50	OpenLevel229	OpenLevel249	101
50	OpenLevel249	OpenLevel259	104
50	OpenLevel259	OpenLevel279	107
50	OpenLevel279	OpenLevel289	110
50	OpenLevel289		113
30	OpenLevel69	OpenLevel79	19
30	OpenLevel79	OpenLevel99	22
30	OpenLevel99	OpenLevel109	25
30	OpenLevel109	OpenLevel119	28
30	OpenLevel119	OpenLevel129	85
30	OpenLevel129	OpenLevel139	54
30	OpenLevel139	OpenLevel159	57
30	OpenLevel159	OpenLevel169	60
30	OpenLevel169	OpenLevel189	63
30	OpenLevel189	OpenLevel199	66
30	OpenLevel199	OpenLevel219	69
30	OpenLevel219	OpenLevel229	99
30	OpenLevel229	OpenLevel249	102
30	OpenLevel249	OpenLevel259	105
30	OpenLevel259	OpenLevel279	108
30	OpenLevel279	OpenLevel289	111
30	OpenLevel289		114
