Name	Area	Type	TrapGroup	PosX	PosY
1	1	1	1	38044	36912
2	1	1	1	39177	39912
3	1	1	1	40890	39476
4	1	1	1	42177	35626
5	1	1	1	40003	34340
6	1	1	1	38626	35504
7	1	1	1	39085	38198
8	1	1	1	40983	36422
9	1	1	1	41689	48729
10	1	1	2	42973	50382
11	1	1	2	43126	47994
12	1	1	2	44259	50811
13	1	1	2	45575	51485
14	1	1	2	46188	48056
15	1	1	2	47872	50199
16	1	1	2	48055	46586
17	1	1	2	45637	50138
18	1	1	2	49341	35871
19	1	1	3	50657	36238
20	1	1	3	51974	35381
21	1	1	3	51698	32626
22	1	1	3	50198	31891
23	1	1	3	48790	33422
24	1	1	3	48912	37647
25	1	1	3	52954	33544
26	1	1	3	51209	34891
27	1	1	3	48484	24054
28	1	1	4	48943	22278
29	1	1	4	49617	21788
30	1	1	4	50902	21053
31	1	1	4	52433	21666
32	1	1	4	53811	23503
33	1	1	4	53260	25278
34	1	1	4	51882	22952
35	1	1	4	49861	23748
36	1	1	4	57240	42239
37	1	1	5	58617	44749
38	1	1	5	59811	44872
39	1	1	5	58862	42606
40	1	1	5	58525	48729
41	1	1	5	60179	49158
42	1	1	5	62230	46096
43	1	1	5	60607	45974
44	1	1	5	61373	47566
45	1	1	5	60485	35749
46	1	1	6	61740	34218
47	1	1	6	62169	31156
48	1	1	6	60944	29013
49	1	1	6	59719	31218
50	1	1	6	59566	34830
51	1	1	6	61495	30728
52	1	1	6	59291	32932
53	1	1	6	60332	34034
54	1	1	6	65016	20564
55	1	1	7	66547	19951
56	1	1	7	68261	21115
57	1	1	7	69088	26135
58	1	1	7	68149	29326
59	1	1	7	68292	27054
60	1	1	7	68139	23135
61	1	1	7	66179	21727
62	1	1	7	67159	25217
63	1	1	7	39410	36286
64	1	2	1	39585	37734
65	1	2	1	39735	39231
66	1	2	1	40957	38482
67	1	2	1	41631	37434
68	1	2	1	40284	35588
69	1	2	1	50189	22522
70	1	2	2	51488	24009
71	1	2	2	51188	22412
72	1	2	2	53035	23210
73	1	2	2	52461	24807
74	1	2	2	51613	25456
75	1	2	2	49941	24957
76	1	2	3	60546	30896
77	1	2	3	61669	32344
78	1	2	3	60222	32194
79	1	2	3	59897	34140
80	1	2	3	61370	35138
81	1	2	3	61245	32793
82	1	2	4	49641	34041
83	1	2	4	50290	33342
84	1	2	4	51238	33392
85	1	2	4	52112	33941
86	1	2	4	49941	35388
87	1	2	4	49791	36835
88	1	2	5	43627	49163
89	1	2	5	44326	49562
90	1	2	5	45474	50560
91	1	2	5	47221	49412
92	1	2	5	45823	48813
93	1	2	5	47246	47965
94	1	2	6	59049	47166
95	1	2	6	60172	48214
96	1	2	6	61395	46168
97	1	2	6	60272	44421
98	1	2	6	59049	43922
99	1	2	6	59498	46168
100	1	2	7	65702	20751
101	1	2	7	67201	21678
102	1	2	7	68563	22822
103	1	2	7	68427	25166
