Device	SafeArea	Desc
iPhone11,2		iPhone XS
iPhone11,4		iPhone XS MAX
iPhone11,6		iPhone XS MAX
iPhone11,8		iPhone XR
iPhone12,1	0.038,0,0.962,1	iPhone 11
iPhone12,3		iPhone 11 Pro
iPhone12,5		iPhone 11 Pro Max
ONEPLUS GM1910	0.032,0,0.967,1	OnePlus GM 1910
HUAWEI TAS-AL00	0.035,0,1,1	HUAWEI MATE 30 5G
OPPO PCRM00	0.045,0,1,1	OPPO RENO 3 Pro
HUAWEI LIO-AL00	0.03,0,1,1	HUAWEI MATE 30 Pro
OPPO PCLM50	0.04,0,1,1	OPPO RENO 3 5G
OPPO PCET00	0.034,0,0.988,1	OPPO A9X
VIVO V1732A	0.036,0,1,1	VIVO Y81S
VIVO V1816A	0,0,0.988,1	VIVO X23 CaoHong
VIVO V1831A	0.021,0,0.979,1	VIVO S1
VIVO V1809A	0.041,0,0.979,1	VIVO X23
VIVO V1928A	0,0,0.982,1	VIVO U3X
XIAOMI MI 9 SE	0,0,0.986,1	XIAOMI 9 SE
OPPO PBAM00	0.04,0,0.967,1	OPPO A5
SAMSUNG SM-M205G	0.041,0,0.985,1	SAMSUNG SM-M205G
HUAWEI WLZ-AL10	0.052,0,0.9466,1	HUAWEI WLZ-AL10
HUAWEI YAL-AL10	0.05,0,0.9486,1	HUAWEI YAL-AL10
SAMSUNG SM-G9810	0.0365,0,0.972,1	SAMSUNG SM-G9810
SAMSUNG SM-N9810	0.0384,0,0.966,1	SAMSUNG SM-N9810
OPPO PBEM00	0.0346,0,0.967,1	OPPO PBEM00
HUAWEI LIO-AL00	0.03,0,1,1	HUAWEI LIO-AL00
OPPO PACM00	0.0357,0,1,1	OPPO PACM00
OPPO PDBM00	0.03,0,1,1	OPPO PDBM00
OPPO PBBM00	0.0355,0,1,1	OPPO PBBM00
iphone11	0.053,0,0.950,1	iphone11
OPPO CPH1823	0.035,0,0.975,1	OPPO CPH1823
MOTOROLA MOTO G(7) PLAY	0.048,0,0.095,1	MOTOROLA MOTO G(7) PLAY
XIAOMI M2102J20SG	0.038,0,1,1	XIAOMI M2102J20SG
ONEPLUS AC2003	0.047,0.003,1,1	ONEPLUS AC2003
OPPO PCAM00	0.03,0,1,1	OPPO PCAM00
SAMSUNG SM-F936N	0.035,0,0.976,1	SAMSUNG SM-F936N
REALME RMX3142	0.040,0,0.940,1	REALME RMX3142
SAMSUNG SM-A515U	0.036,0,0.97,1	SAMSUNG SM-A515U
SAMSUNG SM-A215U	0.042,0,0.950,1	SAMSUNG SM-A215U
VIVO V1824A	0.03,0,0.97,1	VIVO V1824A
XIAOMI REDMI K20 PRO	0.02,0,0.98,1	XIAOMI REDMI K20 PRO
BLACKSHARK SHARK KLE-A0	0.022,0,0.978,1	BLACKSHARK SHARK KLE-A0
XIAOMI MIX 2	0.012,0,0.988,1	XIAOMI MIX 2
ASUS ASUS_I001DA	0.01,0,0.99,1	ASUS ASUS_I001DA
VIVO V1923A	0.02,0.02,0.98,0.96	VIVO V1923A
HUAWEI STK-AL00	0,0,0.97,0.99	HUAWEI STK-AL00
VIVO V1838A	0.03,0,0.97,1	VIVO V1838A
