Camp	NpcTemplateId	PosX	PosY
3	3000	55913	62280
1	3001	22260	55268
1	3001	21224	53909
1	3001	23648	53393
1	3001	22253	51373
1	3002	23064	54187
1	3002	21580	52380
1	3003	22400	53055
1	3001	36824	65392
1	3001	35970	67434
1	3001	37408	67749
1	3001	36755	67757
1	3002	36068	66053
1	3002	37682	66556
1	3003	36767	66472
1	3001	39830	31544
1	3001	41014	29107
1	3001	40951	33080
1	3001	42356	30245
1	3002	40154	29864
1	3002	41726	31799
1	3003	41082	30689
1	3001	54182	43407
1	3001	55452	41242
1	3001	52662	41661
1	3001	53844	39514
1	3002	54720	42579
1	3002	53023	40176
1	3003	53961	41424
1	3001	44449	53439
1	3001	45683	51330
1	3001	43075	51927
1	3001	44164	49470
1	3002	45209	52850
1	3002	43439	50452
1	3003	44410	51542
1	3004	40073	47555
1	3005	31442	38640
2	3006	52518	83987
2	3006	52058	82579
2	3006	51932	85040
2	3006	51078	80698
2	3007	51186	83836
2	3007	52314	80631
2	3008	51042	82036
2	3006	66256	97052
2	3006	65971	99930
2	3006	64610	99240
2	3006	64645	96257
2	3007	66139	98742
2	3007	64557	97704
2	3008	65405	98005
2	3006	65345	74830
2	3006	66772	73291
2	3006	63876	72976
2	3006	65173	70893
2	3007	66258	74204
2	3007	64561	72035
2	3008	65460	72780
2	3006	72050	56352
2	3006	70376	59546
2	3006	71464	61343
2	3006	73230	58416
2	3007	70850	57461
2	3007	72504	60070
2	3008	71706	58692
2	3006	83612	73183
2	3006	84478	73571
2	3006	86391	73076
2	3006	84576	75278
2	3007	84236	71443
2	3007	85461	74042
2	3008	85201	72171
2	3009	70222	78339
2	3010	79587	86680
