Id	AwardFile	IsAddByMemberNum	_Design	_DesignType
1	Setting/AwardKinSpecial/Award/Award.lua		<i18n=15909>	<i18n=5263>
2	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55.lua	1	<i18n=10092>	<i18n=武林高手>
3	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55.lua	1	<i18n=5678>	<i18n=武林高手>
4	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55.lua	1	<i18n=15713>	<i18n=武林高手>
5	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55.lua	1	<i18n=1006>	<i18n=武林高手>
6	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55.lua	1	<i18n=14844>	<i18n=武林高手>
7	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75.lua	1	<i18n=9144>	<i18n=武林高手>
8	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75.lua	1	<i18n=1093>	<i18n=武林高手>
9	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75.lua	1	<i18n=10136>	<i18n=武林高手>
10	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75.lua	1	<i18n=15720>	<i18n=武林高手>
11	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/xiangyuxian_75.lua	1	<i18n=13772>	<i18n=武林高手>
12	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95.lua	1	<i18n=1955>	<i18n=武林高手>
13	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95.lua	1	<i18n=107>	<i18n=武林高手>
14	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95.lua	1	<i18n=9390>	<i18n=武林高手>
15	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95.lua	1	<i18n=10375>	<i18n=武林高手>
16	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/rouxiaocui_95.lua	1	<i18n=4432>	<i18n=武林高手>
17	Setting/AwardKinSpecial/Award/Activities/WuLinGaoShou/tuobashanyuan_55bh.lua	1	<i18n=1025>	<i18n=武林高手>
