nId	nEnable	nPart	nLayer	nType	nTypeSort	szTypeName	szStyle	nStyleSort
<i18n=28022>	<i18n=28000>	<i18n=27987>	<i18n=31527>	<i18n=29736>	<i18n=28415>	<i18n=28411>	<i18n=28397>	<i18n=28410>
1501	1	5		1	1	<i18n=28306>		1
1502	1	5		1	2	<i18n=28012>	<i18n=28490>	1
1503	1	5		1	2	<i18n=28012>	<i18n=30418>	2
1101	1	1		1	1	<i18n=28306>		1
1102	1	1		1	2	<i18n=28012>	<i18n=28490>	1
1103	1	1		1	2	<i18n=28012>	<i18n=30418>	2
1401	1	4		1	1	<i18n=17987>		1
1402	1	4	1	1	2	<i18n=28017>		1
1201	1	2		1	1	<i18n=27979>		1
1202	1	2	1	1	2	<i18n=27983>		1
1301	1	3		1	1	<i18n=31448>		1
20000	1	5		2	1	<i18n=28011>	<i18n=28306>	1
20001	1	5		2	1	<i18n=28011>	<i18n=30424>	2
20002	0	4		2	1	<i18n=28011>	<i18n=坐骑>	3
20003	0	2		2	1	<i18n=28011>	<i18n=Weapon>	4
