Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3302	23687	28074	-1	1	1
1	0	3302	22844	29322	-1	1	1
1	0	3302	22518	27689	-1	1	1
1	0	3302	23742	29840	-1	1	1
1	0	3302	23262	26558	-1	1	1
1	0	3302	24900	27586	-1	1	1
1	0	3302	24198	26684	-1	1	1
1	0	3302	24552	29139	-1	1	1
1	0	3302	17518	21759	-1	1	2
1	0	3302	16419	23835	-1	1	2
1	0	3301	17558	23252	-1	1	2
1	0	3302	18385	22334	-1	1	2
1	0	3302	17091	24899	-1	1	2
1	0	3302	18106	24853	-1	1	2
1	0	3302	18665	23710	-1	1	2
1	0	3302	16639	22381	-1	1	2
1	0	3302	12858	31097	-1	1	3
1	0	3302	11917	31558	-1	1	3
1	0	3302	11160	31010	-1	1	3
1	0	3302	10757	29670	-1	1	3
1	0	3302	12318	28397	-1	1	3
1	0	3300	11882	29782	-1	1	3
1	0	3302	11361	28599	-1	1	3
1	0	3302	12948	29566	-1	1	3
1	0	3302	16535	35595	-1	1	4
1	0	3302	15992	36771	-1	1	4
1	0	3302	17253	36854	-1	1	4
1	0	3302	17604	35404	-1	1	4
1	0	3302	17395	38457	-1	1	4
1	0	3302	18442	36091	-1	1	4
1	0	3302	16406	37998	-1	1	4
1	0	3302	18300	37540	-1	1	4
2	0	3379	27187	47850	-1	1	5
