nAttrId	szAttrType	nAttrValueMin1	nAttrValueMax1	nAttrValueMin2	nAttrValueMax2	nAttrValueMin3	nAttrValueMax3
1	basic_damage_v	39	67	0	0	39	67
2	strength_v	39	67	0	0	0	0
3	dexterity_v	39	67	0	0	0	0
4	vitality_v	39	67	0	0	0	0
5	energy_v	39	67	0	0	0	0
6	recover_life_v	39	67	9	9	0	0
7	recover_mana_v	39	67	9	9	0	0
8	all_series_resist_v	39	67	0	0	0	0
9	metal_resist_v	197	337	0	0	0	0
10	wood_resist_v	197	337	0	0	0	0
11	water_resist_v	197	337	0	0	0	0
12	fire_resist_v	197	337	0	0	0	0
13	earth_resist_v	197	337	0	0	0	0
14	ignore_all_resist_v	100	100	39	67	0	0
15	attackrating_v	39	67	0	0	0	0
16	defense_v	39	67	0	0	0	0
17	ignore_defense_v	39	67	0	0	0	0
18	lifemax_v	788	1350	0	0	0	0
19	manamax_v	788	1350	0	0	0	0
20	deadlystrike_v	39	67	0	0	0	0
21	weaken_deadlystrike_v	39	67	0	0	0	0
22	deadlystrike_damage_v	39	67	0	0	0	0
23	weaken_deadlystrike_damage_v	39	67	0	0	0	0
24	steallife_v	79	136	0	0	0	0
25	stealmana_v	79	136	0	0	0	0
26	meleedamage_return_v	158	270	0	0	0	0
27	rangedamage_return_v	158	270	0	0	0	0
28	return_resist_melee_v	158	270	0	0	0	0
29	return_resist_range_v	158	270	0	0	0	0
30	ignore_metal_resist_v	100	100	39	67	0	0
31	ignore_wood_resist_v	100	100	39	67	0	0
32	ignore_water_resist_v	100	100	39	67	0	0
33	ignore_fire_resist_v	100	100	39	67	0	0
34	ignore_earth_resist_v	100	100	39	67	0	0
35	series_enhance_resist_v	39	67	0	0	0	0
36	series_abate_resist_v	39	67	0	0	0	0
37	basic_damage_v	21	37	0	0	21	37
38	strength_v	21	37	0	0	0	0
39	dexterity_v	21	37	0	0	0	0
40	vitality_v	21	37	0	0	0	0
41	energy_v	21	37	0	0	0	0
42	recover_life_v	21	37	9	9	0	0
43	recover_mana_v	21	37	9	9	0	0
44	all_series_resist_v	21	37	0	0	0	0
45	metal_resist_v	108	185	0	0	0	0
46	wood_resist_v	108	185	0	0	0	0
47	water_resist_v	108	185	0	0	0	0
48	fire_resist_v	108	185	0	0	0	0
49	earth_resist_v	108	185	0	0	0	0
50	ignore_all_resist_v	100	100	21	37	0	0
51	attackrating_v	21	37	0	0	0	0
52	defense_v	21	37	0	0	0	0
53	ignore_defense_v	21	37	0	0	0	0
54	lifemax_v	433	743	0	0	0	0
55	manamax_v	433	743	0	0	0	0
56	deadlystrike_v	21	37	0	0	0	0
57	weaken_deadlystrike_v	21	37	0	0	0	0
58	deadlystrike_damage_v	21	37	0	0	0	0
59	weaken_deadlystrike_damage_v	21	37	0	0	0	0
60	steallife_v	43	75	0	0	0	0
61	stealmana_v	43	75	0	0	0	0
62	meleedamage_return_v	87	149	0	0	0	0
63	rangedamage_return_v	87	149	0	0	0	0
64	return_resist_melee_v	87	149	0	0	0	0
65	return_resist_range_v	87	149	0	0	0	0
66	ignore_metal_resist_v	100	100	21	37	0	0
67	ignore_wood_resist_v	100	100	21	37	0	0
68	ignore_water_resist_v	100	100	21	37	0	0
69	ignore_fire_resist_v	100	100	21	37	0	0
70	ignore_earth_resist_v	100	100	21	37	0	0
71	series_enhance_resist_v	21	37	0	0	0	0
72	series_abate_resist_v	21	37	0	0	0	0
73	basic_damage_v	12	20	0	0	12	20
74	strength_v	12	20	0	0	0	0
75	dexterity_v	12	20	0	0	0	0
76	vitality_v	12	20	0	0	0	0
77	energy_v	12	20	0	0	0	0
78	recover_life_v	12	20	9	9	0	0
79	recover_mana_v	12	20	9	9	0	0
80	all_series_resist_v	12	20	0	0	0	0
81	metal_resist_v	59	101	0	0	0	0
82	wood_resist_v	59	101	0	0	0	0
83	water_resist_v	59	101	0	0	0	0
84	fire_resist_v	59	101	0	0	0	0
85	earth_resist_v	59	101	0	0	0	0
86	ignore_all_resist_v	100	100	12	20	0	0
87	attackrating_v	12	20	0	0	0	0
88	defense_v	12	20	0	0	0	0
89	ignore_defense_v	12	20	0	0	0	0
90	lifemax_v	236	405	0	0	0	0
91	manamax_v	236	405	0	0	0	0
92	deadlystrike_v	12	20	0	0	0	0
93	weaken_deadlystrike_v	12	20	0	0	0	0
94	deadlystrike_damage_v	12	20	0	0	0	0
95	weaken_deadlystrike_damage_v	12	20	0	0	0	0
96	steallife_v	24	41	0	0	0	0
97	stealmana_v	24	41	0	0	0	0
98	meleedamage_return_v	47	81	0	0	0	0
99	rangedamage_return_v	47	81	0	0	0	0
100	return_resist_melee_v	47	81	0	0	0	0
101	return_resist_range_v	47	81	0	0	0	0
102	ignore_metal_resist_v	100	100	12	20	0	0
103	ignore_wood_resist_v	100	100	12	20	0	0
104	ignore_water_resist_v	100	100	12	20	0	0
105	ignore_fire_resist_v	100	100	12	20	0	0
106	ignore_earth_resist_v	100	100	12	20	0	0
107	series_enhance_resist_v	12	20	0	0	0	0
108	series_abate_resist_v	12	20	0	0	0	0
109	allsect_metaldamage_v	16	28	16	28	0	0
110	all_series_resist_v	16	28	16	28	0	0
111	allsect_metaldamage_v	29	49	29	49	0	0
112	all_series_resist_v	29	49	29	49	0	0
113	allsect_metaldamage_v	53	90	53	90	0	0
114	all_series_resist_v	53	90	53	90	0	0
115	metal_resist_v	79	136	79	136	0	0
116	ignore_defense_v	16	28	16	28	0	0
117	metal_resist_v	144	247	144	247	0	0
118	ignore_defense_v	29	49	29	49	0	0
119	metal_resist_v	263	450	263	450	0	0
120	ignore_defense_v	53	90	53	90	0	0
121	allsect_wooddamage_v	16	28	16	28	0	0
122	vitality_v	16	28	16	28	0	0
123	allsect_wooddamage_v	29	49	29	49	0	0
124	vitality_v	29	49	29	49	0	0
125	allsect_wooddamage_v	53	90	53	90	0	0
126	vitality_v	53	90	53	90	0	0
127	wood_resist_v	79	136	79	136	0	0
128	ignore_all_resist_v	100	100	16	28	0	0
129	wood_resist_v	144	247	144	247	0	0
130	ignore_all_resist_v	100	100	29	49	0	0
131	wood_resist_v	263	450	263	450	0	0
132	ignore_all_resist_v	100	100	53	90	0	0
133	allsect_waterdamage_v	16	28	16	28	0	0
134	energy_v	16	28	16	28	0	0
135	allsect_waterdamage_v	29	49	29	49	0	0
136	energy_v	29	49	29	49	0	0
137	allsect_waterdamage_v	53	90	53	90	0	0
138	energy_v	53	90	53	90	0	0
139	water_resist_v	79	136	79	136	0	0
140	weaken_deadlystrike_v	16	28	16	28	0	0
141	water_resist_v	144	247	144	247	0	0
142	weaken_deadlystrike_v	29	49	29	49	0	0
143	water_resist_v	263	450	263	450	0	0
144	weaken_deadlystrike_v	53	90	53	90	0	0
145	allsect_firedamage_v	16	28	16	28	0	0
146	defense_v	16	28	16	28	0	0
147	allsect_firedamage_v	29	49	29	49	0	0
148	defense_v	29	49	29	49	0	0
149	allsect_firedamage_v	53	90	53	90	0	0
150	defense_v	53	90	53	90	0	0
151	fire_resist_v	79	136	79	136	0	0
152	steallife_v	32	54	32	54	0	0
153	fire_resist_v	144	247	144	247	0	0
154	steallife_v	58	100	58	100	0	0
155	fire_resist_v	263	450	263	450	0	0
156	steallife_v	105	180	105	180	0	0
157	allsect_earthdamage_v	16	28	16	28	0	0
158	lifemax_v	315	540	315	540	0	0
159	allsect_earthdamage_v	29	49	29	49	0	0
160	lifemax_v	578	990	578	990	0	0
161	allsect_earthdamage_v	53	90	53	90	0	0
162	lifemax_v	1050	1800	1050	1800	0	0
163	earth_resist_v	79	136	79	136	0	0
164	weaken_deadlystrike_damage_v	16	28	16	28	0	0
165	earth_resist_v	144	247	144	247	0	0
166	weaken_deadlystrike_damage_v	29	49	29	49	0	0
167	earth_resist_v	263	450	263	450	0	0
168	weaken_deadlystrike_damage_v	53	90	53	90	0	0
