nTemplateId	nRandomAttrGroupId	nHideSkillId	nSkillLv	nRewardXuanShiNum	nBaseAttrib1Id	nBaseAttrib2Id
250001	3	0	0	1	109	110
250002	2	0	0	10	111	112
250003	1	10796	10	100	113	114
250011	3	0	0	1	115	116
250012	2	0	0	10	117	118
250013	1	10804	10	100	119	120
250021	3	0	0	1	121	122
250022	2	0	0	10	123	124
250023	1	10794	10	100	125	126
250031	3	0	0	1	127	128
250032	2	0	0	10	129	130
250033	1	10805	10	100	131	132
250041	3	0	0	1	133	134
250042	2	0	0	10	135	136
250043	1	10800	10	100	137	138
250051	3	0	0	1	139	140
250052	2	0	0	10	141	142
250053	1	-1000	1	100	143	144
250061	3	0	0	1	145	146
250062	2	0	0	10	147	148
250063	1	10802	10	100	149	150
250071	3	0	0	1	151	152
250072	2	0	0	10	153	154
250073	1	10806	10	100	155	156
250081	3	0	0	1	157	158
250082	2	0	0	10	159	160
250083	1	10798	10	100	161	162
250091	3	0	0	1	163	164
250092	2	0	0	10	165	166
250093	1	-1000	1	100	167	168
