nCamp	nPath	PosX	PosY
4	1	18687	24454
4	1	17650	23458
4	1	21770	19356
4	1	20758	18346
4	1	19710	17350
4	1	18655	18285
4	1	17652	19339
4	2	24871	18342
4	2	23902	17271
4	2	22851	16302
4	2	21871	15209
4	2	20800	14242
4	2	19717	13230
4	3	18676	14261
4	3	17670	15227
4	3	16581	16304
4	3	15625	17332
4	4	17582	25487
4	4	16677	24450
4	4	12557	24381
4	4	11500	25442
4	4	10532	26545
4	4	11537	27539
4	4	12543	28599
4	5	11544	31632
4	5	10504	30616
4	5	9461	29583
4	5	8441	28573
4	5	7440	27547
4	5	6388	26519
4	6	7390	25513
4	6	8445	24473
4	6	9473	23438
4	6	10497	22379
3	7	24844	32647
3	7	25852	33687
3	7	25861	37759
3	7	24769	38821
3	7	23823	39827
3	7	22758	38818
3	7	21755	37743
3	9	27906	39791
3	9	26865	40845
3	9	25846	41860
3	9	24822	42922
3	8	23810	43937
3	8	22815	42879
3	8	21767	41850
3	8	20716	40846
3	8	19726	39827
3	8	18631	38820
3	10	26882	32649
3	10	25850	31644
3	10	30948	32689
3	10	31986	31608
3	10	33006	30591
3	10	31984	29596
3	10	30970	28551
3	11	31986	25449
3	11	33031	26516
3	11	34046	27515
3	11	35086	28554
3	11	36090	29552
3	11	37107	30677
3	12	36110	31615
3	12	35063	32666
3	12	34063	33656
3	12	33028	34703
