nSkillBookId	szName	nType	nSeries	nSkillId	nLevelupId	nLevelValue1	nLevelValue2	nLevelValue3	nLevelValue4	nLevelValue5	nLevelValue6	nLevelValue7	nLevelValue8	nLevelValue9	nLevelValue10	nLevelValue11	nLevelValue12	nLevelValue13	nLevelValue14	nLevelValue15	nLevelValue16	nLevelValue17	nLevelValue18	nGradeupId	nGradeValue1	nGradeValue2	nGradeValue3	nGradeValue4	nGradeValue5	nGradeValue6	nGradeValue7	nGradeValue8	nGradeValue9	nGradeValue10	nGradeValue11	nGradeValue12	nGradeValue13	nGradeValue14	nGradeValue15	nGradeValue16	nGradeValue17	nGradeValue18	nRemnantsReturnCount
3501	<i18n=3166>	1	1	1	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3502	<i18n=5250>	1	2	2	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3502	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3503	<i18n=145>	1	3	3	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3504	<i18n=7842>	1	4	4	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3504	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3505	<i18n=7463>	1	5	5	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3505	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3506	<i18n=2629>	2	0	6	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3506	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3507	<i18n=5029>	3	0	7	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3508	<i18n=500>	4	0	8	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3509	<i18n=10171>	5	0	9	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3509	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3510	<i18n=9713>	6	1	10	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3510	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3511	<i18n=10999>	6	2	11	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3511	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3512	<i18n=7179>	6	3	12	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3513	<i18n=13282>	6	4	13	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3514	<i18n=7667>	6	5	14	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3515	<i18n=7910>	7	0	15	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3516	<i18n=5937>	8	0	16	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3516	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
3517	<i18n=11748>	9	0	17	3005	10	20	30	40	50	60	70	80	80	80	80	80	80	80	80	80	80	80	3517	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
