NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType	ShowName
<i18n=7041>	9008	70		18690	84267	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18863	85798	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		15409	82814	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		14807	80485	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		16504	79519	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17224	81086	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18152	79473	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18970	81006	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		15858	81102	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17218	82868	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		14431	85472	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		15460	84475	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20152	81534	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19707	79365	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		14143	83554	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20841	71443	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18088	71598	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		16980	70757	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		16587	67357	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17957	70130	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		21237	68713	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		21054	66870	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19490	71825	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17677	68189	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20873	70157	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17250	65648	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22349	67802	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19173	64834	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18338	66449	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19507	66740	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		52706	73608	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50435	75349	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		47260	73296	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		46886	71694	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		48669	70272	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		47938	68560	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		49354	68413	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50466	69712	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50290	71587	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51726	71207	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		49064	75400	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53164	70515	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		49086	73654	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		52810	68908	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51532	73521	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		21037	108986	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19501	108986	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17918	108338	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17936	106615	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20136	103672	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19887	105184	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19277	106647	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		23924	105717	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		23832	107642	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22328	110501	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19943	110939	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		23434	104230	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		21658	103388	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22793	107118	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22486	108690	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		52163	102281	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		55269	103837	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51835	106240	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		49375	100922	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50192	99689	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		52327	98818	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53560	98965	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53664	100367	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		55686	102605	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50919	104052	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		49322	102612	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53454	104282	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51124	100693	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		55052	100308	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		55440	101453	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		84903	146187	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		85565	144303	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		83842	145727	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		82302	142929	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		83976	142375	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		84817	138904	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		85733	140295	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		86852	142127	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		86792	144170	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		85542	142324	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		84188	144139	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		88319	142986	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		83137	138995	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		87532	138494	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		84013	140428	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		74972	159092	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		74831	160850	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		70996	163067	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		68584	158178	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		69520	156752	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		70503	155131	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		70279	160823	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		71788	158539	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		73442	158981	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		72865	160929	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		69799	162780	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		71752	161010	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		73207	155049	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		70341	158777	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		75050	157029	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		80329	171384	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		78803	173269	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		78605	170975	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		77616	166142	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		81615	165053	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		79714	164996	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		81582	169186	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		83248	166258	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		78671	168946	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		81505	171568	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		82722	172087	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		80376	167000	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		83461	168589	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		81823	166821	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		83345	170539	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		88651	29688	0	0	191	-1	0	0			1	
<i18n=14625>	12091	1		51864	61127	0	0	191	-1	0	0				
<i18n=7041>	9008	70		28404	116866	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		30582	118299	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		29230	114333	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		33718	116250	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		31965	118103	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		32472	114682	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		33535	113043	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		31949	110663	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		30287	111121	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		28911	111574	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		33197	111245	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		30731	116668	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		31982	112583	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		29805	112813	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		21120	111034	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18562	110049	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		23509	109403	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		21011	106615	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		18932	104584	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		31937	116478	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		29314	117954	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		28035	115200	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		28029	113504	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		33078	117639	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		33797	114714	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		29502	116233	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		30689	114802	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17283	86734	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		15796	86418	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20004	84613	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19108	82649	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20317	82864	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		14264	81917	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		17157	84774	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22038	70674	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19507	70220	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22301	69048	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		22356	65933	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		19499	68721	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		20657	65163	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		16504	69017	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50167	73447	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		48043	74750	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		48325	72142	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51673	75003	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53191	72221	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51318	68077	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		47227	69937	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50496	105640	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53361	105868	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		50535	102825	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		51149	99023	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		53826	102152	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		54615	104897	0	0	191	-1	0	0			1	
<i18n=7041>	9008	70		49585	104126	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		80433	173529	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		81912	173543	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		80226	169023	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		77765	172336	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		77211	170684	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		77165	168590	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		78866	166966	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		72218	162867	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		68659	161674	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		71710	155159	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		73868	162193	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		73385	156891	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		70982	157057	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		68411	159903	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		82818	144611	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		86409	146064	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		87747	145185	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		86954	140032	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		82263	141240	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		86144	138447	0	0	191	-1	0	0			1	
<i18n=2630>	9009	70		88392	140704	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		89862	29617	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		91122	29368	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		90945	27192	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		87997	25807	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		92306	24461	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		86809	28177	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		87611	29273	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		92358	26205	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		88753	24087	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		90132	23860	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		89710	27496	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		91940	28039	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		90616	22032	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		89664	25931	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		91486	22951	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		87557	22756	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		86579	26559	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		86547	24843	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		88204	27592	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		90849	25401	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		89064	22152	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		100008	36858	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		102555	35457	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		101287	36536	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		101771	34238	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		103160	31297	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		99482	32682	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		100735	32694	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		103019	33741	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		98881	36361	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		97989	35283	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		97785	31584	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		97972	33340	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		99770	28458	0	0	191	-1	0	0			1	
<i18n=12743>	3489	70		98531	29592	0	0	191	-1	0	0			1	
