Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3317	29796	36686	-1	1	1
1	0	3317	29299	37669	-1	1	1
1	0	3317	28697	36436	-1	1	1
1	0	3317	29232	35634	-1	1	1
1	0	3317	27809	36931	-1	1	1
1	0	3317	28367	37854	-1	1	1
1	0	3317	28504	35209	-1	1	1
1	0	3317	27782	35741	-1	1	1
1	0	3317	25554	38279	-1	1	2
1	0	3317	26893	38965	-1	1	2
1	0	3317	25964	39241	-1	1	2
1	0	3317	25027	39051	-1	1	2
1	0	3317	26379	38008	-1	1	2
1	0	3317	25246	40101	-1	1	2
1	0	3317	25909	40636	-1	1	2
1	0	3317	26718	40077	-1	1	2
1	0	3317	21104	39794	-1	1	3
1	0	3317	21673	38746	-1	1	3
1	0	3317	22151	41543	-1	1	3
1	0	3317	21431	41137	-1	1	3
1	0	3317	22824	40972	-1	1	3
1	0	3317	23049	39637	-1	1	3
1	0	3317	22097	40011	-1	1	3
1	0	3317	22494	38651	-1	1	3
2	2	3450	14472	48091	-1	0	4
3	0	3319	24395	71253	-1	1	5
3	0	3318	24185	69838	-1	1	5
3	0	3320	21750	69665	-1	1	5
3	0	3321	24960	68622	-1	1	5
3	0	3320	22997	72292	-1	1	5
3	0	3319	25051	70125	-1	1	5
3	0	3320	25058	71858	-1	1	5
3	0	3321	23926	72592	-1	1	5
3	0	3318	23461	70910	-1	1	5
3	0	3321	22326	68105	-1	1	5
3	0	3319	24298	67589	-1	1	5
3	0	3318	23375	67228	-1	1	5
3	0	3321	22809	69807	-1	1	5
3	0	3320	23514	68781	-1	1	5
3	0	3319	22092	71187	-1	1	5
3	0	3318	25719	70771	-1	1	5
