NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=29712>	<i18n=29712>	11108	1		18953	59914	0	0	191	-1	0	0			
<i18n=29712>	<i18n=29712>	11108	1		30407	48154	0	0	191	-1	0	0			
<i18n=29712>	<i18n=29712>	11108	1		40560	37656	0	0	191	-1	0	0			
<i18n=29712>	<i18n=29712>	11108	1		52102	25875	0	0	191	-1	0	0			
<i18n=32051>	<i18n=32051>	3505	1		9407	54880	0	0	191	-1	0	0			
<i18n=32051>	<i18n=32051>	3505	1		44820	15851	0	0	191	-1	0	0			
<i18n=32051>	<i18n=32051>	3505	1		29446	27502	0	0	191	-1	0	0			
<i18n=32088>	<i18n=32088>	3506	1		10348	49393	0	0	191	-1	0	0			
<i18n=32088>	<i18n=32088>	3506	1		48434	13443	0	0	191	-1	0	0			
<i18n=32088>	<i18n=32088>	3506	1		18240	37447	0	0	191	-1	0	0			
<i18n=32061>	<i18n=32061>	3507	1		14297	48131	0	0	191	-1	0	0			
<i18n=32094>	<i18n=32094>	3504	1		17602	43189	0	0	191	-1	0	0			
<i18n=32061>	<i18n=32061>	3507	1		22152	36648	0	0	191	-1	0	0			
<i18n=32094>	<i18n=32094>	3504	1		28592	32880	0	0	191	-1	0	0			
<i18n=32061>	<i18n=32061>	3507	1		33464	27106	0	0	191	-1	0	0			
<i18n=32094>	<i18n=32094>	3504	1		44393	21369	0	0	191	-1	0	0			
<i18n=32620>	<i18n=32620>	3508	1		20435	62830	0	0	191	-1	0	0			
<i18n=32620>	<i18n=32620>	3508	1		53622	28672	0	0	191	-1	0	0			
<i18n=32620>	<i18n=32620>	3508	1		32246	50867	0	0	191	-1	0	0			
<i18n=32620>	<i18n=32620>	3508	1		42316	39929	0	0	191	-1	0	0			
