nId	nPartnerId	nOrder	tbnWeight	tbnMingXiaQuality	tbnActivityQuality	nMaterialsId	nConsumeNum	nYuanQiNum	nIsBind	tbnItemId
1	1	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671401|670901|670401|660901
2	1	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671402|670902|670402|660902
3	1	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671403|670903|670403|660903
4	1	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671404|670904|670404|660904
5	1	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671405|670905|670405|660905
6	1	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671406|670906|670406|660906
7	1	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671407|670907|670407|660907
8	1	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671408|670908|670408|660908
9	1	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671409|670909|670409|660909
10	1	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671410|670910|670410|660910
11	1	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671411|670911|670411|660911
12	2	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671101|670601|670101|660101
13	2	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671102|670602|670102|660102
14	2	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671103|670603|670103|660103
15	2	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671104|670604|670104|660104
16	2	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671105|670605|670105|660105
17	2	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671106|670606|670106|660106
18	2	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671107|670607|670107|660107
19	2	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671108|670608|670108|660108
20	2	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671109|670609|670109|660109
21	2	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671110|670610|670110|660110
22	2	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671111|670611|670111|660111
23	3	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671201|670701|670201|660301
24	3	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671202|670702|670202|660302
25	3	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671203|670703|670203|660303
26	3	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671204|670704|670204|660304
27	3	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671205|670705|670205|660305
28	3	6	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3550	1	671206|670706|670206|660306
29	3	7	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	4730	1	671207|670707|670207|660307
30	3	8	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5070	1	671208|670708|670208|660308
31	3	9	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	4	5410	1	671209|670709|670209|660309
32	3	10	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	6760	1	671210|670710|670210|660310
33	3	11	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7100	1	671211|670711|670211|660311
34	4	1	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1300	1	671501|671001|670501|661301
35	4	2	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	1860	1	671502|671002|670502|661302
36	4	3	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	2	2030	1	671503|671003|670503|661303
37	4	4	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3040	1	671504|671004|670504|661304
38	4	5	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	3	3300	1	671505|671005|670505|661305
