nGroupId	nIntensify	tbnSeries	nNeedExp	nNeedPreStar	nMaterialsNum	nDoublePro	nDoubleAddPro	nFiveFoldPro	nFiveAddPro	nSilver	nAttrNum	szAttribType1	tbnAttribValue1	szAttribType2	tbnAttribValue2	FightPower	szName
1	0	9|11	0	0	0	0	0	0	0	0	1	basic_damage_v	17|0|17			200	<i18n=29462>
1	1	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	29|0|29			400	<i18n=29462>
1	2	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	41|0|41			600	<i18n=29462>
1	3	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	53|0|53			800	<i18n=29462>
1	4	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	65|0|65			1000	<i18n=29462>
1	5	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	77|0|77			1200	<i18n=29462>
1	6	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	89|0|89			1400	<i18n=29462>
1	7	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	101|0|101			1600	<i18n=29462>
1	8	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	113|0|113			1800	<i18n=29462>
1	9	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	125|0|125			2000	<i18n=29462>
1	10	9|11	200	0	2	200000	100000	100000	50000	2000	1	basic_damage_v	167|0|167			2200	<i18n=29462>
1	11	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	178|0|178			2400	<i18n=29462>
1	12	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	189|0|189			2600	<i18n=29462>
1	13	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	201|0|201			2800	<i18n=29462>
1	14	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	212|0|212			3000	<i18n=29462>
1	15	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	223|0|223			3200	<i18n=29462>
1	16	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	234|0|234			3400	<i18n=29462>
1	17	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	245|0|245			3600	<i18n=29462>
1	18	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	257|0|257			3800	<i18n=29462>
1	19	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	268|0|268			4000	<i18n=29462>
1	20	9|11	200	1	2	200000	100000	100000	50000	2000	1	basic_damage_v	307|0|307			4200	<i18n=29462>
1	21	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	323|0|323			4500	<i18n=29462>
1	22	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	338|0|338			4800	<i18n=29462>
1	23	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	354|0|354			5100	<i18n=29462>
1	24	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	369|0|369			5400	<i18n=29462>
1	25	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	385|0|385			5700	<i18n=29462>
1	26	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	401|0|401			6000	<i18n=29462>
1	27	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	416|0|416			6300	<i18n=29462>
1	28	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	432|0|432			6600	<i18n=29462>
1	29	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	447|0|447			6900	<i18n=29462>
1	30	9|11	300	2	2	200000	100000	100000	50000	2000	1	basic_damage_v	502|0|502			7200	<i18n=29462>
1	31	9|11	300	3	2	200000	100000	100000	50000	2000	1	basic_damage_v	516|0|516			7500	<i18n=29462>
1	32	9|11	300	3	2	200000	100000	100000	50000	2000	1	basic_damage_v	531|0|531			7800	<i18n=29462>
1	33	9|11	300	3	2	200000	100000	100000	50000	2000	1	basic_damage_v	545|0|545			8100	<i18n=29462>
1	34	9|11	300	3	2	200000	100000	100000	50000	2000	1	basic_damage_v	560|0|560			8400	<i18n=29462>
1	35	9|11	300	3	2	200000	100000	100000	50000	2000	1	basic_damage_v	574|0|574			8700	<i18n=29462>
1	36	9|11	300	3	2	200000	100000	100000	50000	2000	1	basic_damage_v	588|0|588			9000	<i18n=29462>
