Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3455	22121	42698	-1	0	0
1	0	3455	21216	41355	-1	0	0
1	0	3455	22707	39422	-1	0	0
1	0	3455	24043	40015	-1	0	0
1	0	3455	23388	43146	-1	0	0
1	0	3455	24855	41916	-1	0	0
1	0	3456	22606	24384	-1	0	0
1	0	3456	23225	25939	-1	0	0
1	0	3456	23494	23130	-1	0	0
1	0	3456	24511	25711	-1	0	0
1	0	3456	24636	22764	-1	0	0
1	0	3456	25292	24605	-1	0	0
1	0	3457	34548	17647	-1	0	0
1	0	3457	35606	16440	-1	0	0
1	0	3457	35621	14484	-1	0	0
1	0	3457	34245	13918	-1	0	0
1	0	3457	33334	17040	-1	0	0
1	0	3457	33334	15214	-1	0	0
1	0	3458	39988	33090	-1	0	0
1	0	3458	40113	31041	-1	0	0
1	0	3458	41384	30478	-1	0	0
1	0	3458	42534	33037	-1	0	0
1	0	3458	41188	34085	-1	0	0
1	0	3458	42488	30590	-1	0	0
1	0	3376	41388	32153	-1	1	4
1	0	3375	23082	41295	-1	1	1
1	0	3377	34536	15638	-1	1	3
1	0	3378	24069	24494	-1	1	2
