Name	VarName	PosX	PosY
宋方士兵	Camp1_Title1	13462	42239
宋方士兵	Camp1_Title1	12639	40824
宋方士兵	Camp1_Title1	14674	40236
宋方士兵	Camp1_Title1	14028	38921
宋方校尉	Camp1_Title2	14505	41849
宋方校尉	Camp1_Title2	12925	38813
宋方统领	Camp1_Title3	13677	40495
宋方士兵	Camp1_Title1	26568	51108
宋方士兵	Camp1_Title1	25560	53417
宋方士兵	Camp1_Title1	26622	53460
宋方士兵	Camp1_Title1	25600	51198
宋方校尉	Camp1_Title2	25114	52291
宋方校尉	Camp1_Title2	27078	52384
宋方统领	Camp1_Title3	26048	52320
宋方士兵	Camp1_Title1	30740	18157
宋方士兵	Camp1_Title1	31797	14777
宋方士兵	Camp1_Title1	31694	19348
宋方士兵	Camp1_Title1	32767	16605
宋方校尉	Camp1_Title2	30800	16254
宋方校尉	Camp1_Title2	32670	18369
宋方统领	Camp1_Title3	31742	17272
宋方士兵	Camp1_Title1	45549	30856
宋方士兵	Camp1_Title1	34901	9346
宋方士兵	Camp1_Title1	43809	30816
宋方士兵	Camp1_Title1	43827	29170
宋方校尉	Camp1_Title2	44696	31579
宋方校尉	Camp1_Title2	44752	28446
宋方统领	Camp1_Title3	44717	30098
宋方士兵	Camp1_Title1	33758	42620
宋方士兵	Camp1_Title1	35054	40716
宋方士兵	Camp1_Title1	33059	41379
宋方士兵	Camp1_Title1	34218	39459
宋方校尉	Camp1_Title2	34652	41965
宋方校尉	Camp1_Title2	33192	39958
宋方统领	Camp1_Title3	34017	40954
宋方大将	Camp1_Title4	30020	37219
金方士兵	Camp2_Title1	40022	66245
金方士兵	Camp2_Title1	41706	66238
金方士兵	Camp2_Title1	40021	64759
金方士兵	Camp2_Title1	41783	64499
金方校尉	Camp2_Title2	40854	67067
金方校尉	Camp2_Title2	40847	63971
金方统领	Camp2_Title3	40812	65339
金方士兵	Camp2_Title1	53519	78941
金方士兵	Camp2_Title1	53234	81819
金方士兵	Camp2_Title1	51689	81695
金方士兵	Camp2_Title1	51770	78857
金方校尉	Camp2_Title2	53402	80631
金方校尉	Camp2_Title2	51629	80167
金方统领	Camp2_Title3	52668	80366
金方士兵	Camp2_Title1	49381	56500
金方士兵	Camp2_Title1	50647	55440
金方士兵	Camp2_Title1	48967	55354
金方士兵	Camp2_Title1	50382	54427
金方校尉	Camp2_Title2	50366	56511
金方校尉	Camp2_Title2	49397	54440
金方统领	Camp2_Title3	49808	55415
金方士兵	Camp2_Title1	61019	43177
金方士兵	Camp2_Title1	60066	45684
金方士兵	Camp2_Title1	60973	46685
金方士兵	Camp2_Title1	61831	43839
金方校尉	Camp2_Title2	60028	44097
金方校尉	Camp2_Title2	61795	45721
金方统领	Camp2_Title3	61011	44830
金方士兵	Camp2_Title1	68677	57088
金方士兵	Camp2_Title1	70360	55734
金方士兵	Camp2_Title1	70887	57161
金方士兵	Camp2_Title1	69224	58463
金方校尉	Camp2_Title2	69264	55797
金方校尉	Camp2_Title2	70306	58577
金方统领	Camp2_Title3	69763	57071
金方大将	Camp1_Title4	53709	60556
