Name	VarName	PosX	PosY
宋方士兵	Camp1_Title1	13168	41276
宋方士兵	Camp1_Title1	12702	40305
宋方士兵	Camp1_Title1	14500	40352
宋方士兵	Camp1_Title1	14059	39202
宋方校尉	Camp1_Title2	14069	41338
宋方校尉	Camp1_Title2	13185	39210
宋方统领	Camp1_Title3	13603	40324
宋方士兵	Camp1_Title1	24949	50949
宋方士兵	Camp1_Title1	24127	53055
宋方士兵	Camp1_Title1	25717	52938
宋方士兵	Camp1_Title1	24984	53666
宋方校尉	Camp1_Title2	24105	51914
宋方统领	Camp1_Title3	24924	52269
宋方士兵	Camp1_Title1	31303	17615
宋方士兵	Camp1_Title1	32913	16338
宋方士兵	Camp1_Title1	31913	18831
宋方士兵	Camp1_Title1	33262	17634
宋方校尉	Camp1_Title2	31894	16317
宋方校尉	Camp1_Title2	32940	18833
宋方统领	Camp1_Title3	32277	17636
宋方士兵	Camp1_Title1	43279	30509
宋方士兵	Camp1_Title1	44859	29304
宋方士兵	Camp1_Title1	42709	29204
宋方士兵	Camp1_Title1	44401	27857
宋方校尉	Camp1_Title2	44367	30541
宋方校尉	Camp1_Title2	43330	27839
宋方统领	Camp1_Title3	43818	29266
宋方士兵	Camp1_Title1	34236	42542
宋方士兵	Camp1_Title1	35470	40433
宋方士兵	Camp1_Title1	32862	41030
宋方士兵	Camp1_Title1	33951	38573
宋方校尉	Camp1_Title2	34996	41953
宋方校尉	Camp1_Title2	33226	39555
宋方统领	Camp1_Title3	34197	40645
宋方大将	Camp1_Title4	30038	37038
金方士兵	Camp2_Title1	40872	67505
金方士兵	Camp2_Title1	42659	65258
金方士兵	Camp2_Title1	40038	65777
金方士兵	Camp2_Title1	41691	63353
金方校尉	Camp2_Title2	41799	66491
金方校尉	Camp2_Title2	40677	63720
金方统领	Camp2_Title3	41117	65094
金方士兵	Camp2_Title1	52379	78789
金方士兵	Camp2_Title1	52094	81667
金方士兵	Camp2_Title1	50523	81543
金方士兵	Camp2_Title1	50630	78705
金方校尉	Camp2_Title2	52262	80479
金方校尉	Camp2_Title2	50489	80015
金方统领	Camp2_Title3	51528	80214
金方士兵	Camp2_Title1	49734	57529
金方士兵	Camp2_Title1	51299	56036
金方士兵	Camp2_Title1	48910	56162
金方士兵	Camp2_Title1	50318	54853
金方校尉	Camp2_Title2	49452	55014
金方统领	Camp2_Title3	50077	56243
金方士兵	Camp2_Title1	58352	44326
金方校尉	Camp2_Title2	58283	45976
金方士兵	Camp2_Title1	68811	57876
金方士兵	Camp2_Title1	70417	56122
金方士兵	Camp2_Title1	71190	57609
金方士兵	Camp2_Title1	69485	59388
金方校尉	Camp2_Title2	69275	56216
金方校尉	Camp2_Title2	70540	58595
金方统领	Camp2_Title3	70078	57469
金方大将	Camp2_Title4	53945	60496
宋方元帅	Camp1_Title5	23520	30592
宋方战旗	Camp1_Title6	23520	30592
金方元帅	Camp2_Title5	60600	67797
金方战旗	Camp2_Title6	60600	67797
金方校尉	Camp2_Title2	56698	44516
金方统领	Camp2_Title3	57572	45170
金方士兵	Camp2_Title1	56667	45889
金方士兵	Camp2_Title1	57555	46763
金方校尉	Camp2_Title2	50671	57195
