Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
0	0	3433	13669	45810	-1	0	0
1	0	3311	23849	34654	-1	1	1
1	0	3311	23377	33543	-1	1	1
1	0	3311	23681	32277	-1	1	1
1	0	3309	24454	33493	-1	1	1
1	0	3311	24613	32226	-1	1	1
1	0	3311	25419	32767	-1	1	1
1	0	3311	24806	34766	-1	1	1
1	0	3311	25300	33960	-1	1	1
1	0	3311	20606	29438	-1	1	2
1	0	3311	22561	29755	-1	1	2
1	0	3310	21572	29547	-1	1	2
1	0	3311	21544	30926	-1	1	2
1	0	3311	22347	28497	-1	1	2
1	0	3311	21318	28261	-1	1	2
1	0	3311	20833	30569	-1	1	2
1	0	3311	22342	30852	-1	1	2
1	0	3311	14616	24973	-1	1	3
1	0	3311	16103	25378	-1	1	3
1	0	3309	15341	26190	-1	1	3
1	0	3311	14291	26213	-1	1	3
1	0	3311	15652	27587	-1	1	3
1	0	3311	15626	24617	-1	1	3
1	0	3311	16311	26918	-1	1	3
1	0	3311	14692	27509	-1	1	3
1	0	3311	16510	22270	-1	1	4
1	0	3311	17432	20096	-1	1	4
1	0	3311	18060	20967	-1	1	4
1	0	3311	18054	22110	-1	1	4
1	0	3311	16719	20095	-1	1	4
1	0	3311	16228	21112	-1	1	4
1	0	3310	17192	21339	-1	1	4
1	0	3311	17252	22786	-1	1	4
2	0	3385	21338	22918	-1	1	5
