nConfigId	szEventName	nAwardId	nAwardKey	nMaxTimeLimit
1	YiJunCompleted	1093	4	1
1	FuNiuMountain	1093	4	1
1	YOYOGameCompleted	1093	4	2
1	BattleCompleted	1093	4	1
1	BaiHuTangJoin	1093	4	1
1	JoinShiYueDao	1093	4	1
1	KinChallengeJoin	1093	4	1
1	WuLinGaoShouJoin	1093	4	2
1	PrimaryDailyGiftBuy	1093	4	1
1	MiddleDailyGiftBuy	1093	5	1
1	AdvancedDailyGiftBuy	1093	6	1
2	YiJunCompleted	1124	1	1
2	FuNiuMountain	1124	1	1
2	YOYOGameCompleted	1124	1	1
2	BattleCompleted	1124	1	2
2	BaiHuTangJoin	1124	1	1
2	JoinShiYueDao	1124	1	2
2	KinChallengeJoin	1124	1	2
2	WuLinQinShiJoin	1124	1	2
2	PrimaryDailyGiftBuy	1124	2	1
2	MiddleDailyGiftBuy	1124	3	1
2	AdvancedDailyGiftBuy	1124	4	1
3	YOYOGameCompleted	1134	1	1
3	FuNiuMountain	1134	1	1
3	BaiHuTangJoin	1134	1	1
3	WuLinQinShiKeYiJoin	1134	1	2
3	BattleHanWuJoin	1134	1	2
3	KinChallengeJoin	1134	1	2
3	JoinShiYueDao	1134	1	2
4	YOYOGameCompleted	1136	20	1
4	BattleCompleted	1136	20	2
4	BaiHuTangJoin	1136	20	1
4	HanWuJoin	1136	20	2
4	JoinShiYueDao	1136	20	2
4	KinChallengeJoin	1136	20	2
4	WuLinGaoShouJoin	1136	20	2
4	QinShiJoin	1136	20	1
5	WuLinQinShiJoin	1149	3	2
5	BaiHuTangJoin	1149	4	1
5	KinChallengeJoin	1149	1	2
5	JoinShiYueDao	1149	1	2
5	BattleHanWuJoin	1149	2	2
5	YOYOGameCompleted	1149	1	1
6	WuLinQinShiKeYiJoin	1158	29	2
6	BattleHanWuJoin	1158	29	2
6	BaiHuTangJoin	1158	30	1
6	JoinShiYueDao	1158	29	2
6	KinChallengeJoin	1158	28	2
6	YOYOGameCompleted	1158	28	1
8	WuLinQinShiKeYiJoin	1163	2	2
8	BattleHanWuJoin	1163	2	2
8	BaiHuTangJoin	1163	3	1
8	JoinShiYueDao	1163	2	2
8	KinChallengeJoin	1163	1	2
8	YOYOGameCompleted	1163	1	1
9	WuLinQinShiKeYiJoin	1170	3	2
9	BattleHanWuJoin	1170	3	2
9	BaiHuTangJoin	1170	2	1
9	JoinShiYueDao	1170	3	2
9	KinChallengeJoin	1170	3	2
10	KinChallengeJoinStage2	1178	28	2
10	KinChallengeJoinStage3	1178	28	2
11	JoinShiYueDao	1182	9	2
11	WuLinGaoShouJoin	1182	10	2
11	BaiHuTangJoin	1182	9	1
11	FuNiuMountain	1182	9	1
11	YOYOGameCompleted	1182	9	1
11	KinChallengeJoin	1182	9	2
12	JoinShiYueDao	1180	7	2
12	BattleCompleted	1180	7	2
12	BaiHuTangJoin	1180	7	1
12	YOYOGameCompleted	1180	8	1
12	KinChallengeJoin	1180	8	2
12	WuLinQinShiKeYiJoin	1180	7	2
14	WuLinQinShiKeYiJoin	1181	5	2
14	BattleHanWuJoin	1181	5	2
14	BaiHuTangJoin	1181	6	1
14	JoinShiYueDao	1181	5	2
14	YOYOGameCompleted	1181	4	1
14	KinChallengeJoin	1181	4	2
16	WuLinQinShiKeYiJoin	1198	2	2
16	BattleHanWuJoin	1198	2	2
16	BaiHuTangJoin	1198	4	1
16	JoinShiYueDao	1198	3	2
16	YOYOGameCompleted	1198	7	1
16	KinChallengeJoin	1198	7	2
17	WuLinQinShiKeYiJoin	1249	102	2
17	BattleHanWuJoin	1249	102	2
17	BaiHuTangJoin	1249	102	1
17	JoinShiYueDao	1249	102	2
17	YOYOGameCompleted	1249	101	1
17	KinChallengeJoin	1249	102	2
