PosID	MapID	MapName	Pos	TrapIndex
1	275	<i18n=20191>	34661,84156,0	1
2	275	<i18n=20191>	15175,63569,0	2
3	275	<i18n=20191>	49479,43907,0	3
4	275	<i18n=20191>	67169,26537,0	4
5	276	<i18n=20192>	51274,95809,0	1
6	276	<i18n=20192>	74914,71165,0	2
7	276	<i18n=20192>	41074,36194,0	3
8	276	<i18n=20192>	18498,62840,0	4
9	276	<i18n=20192>	46553,66004,0	5
10	277	<i18n=20194>	46958,76828,0	1
11	277	<i18n=20194>	65280,54920,0	2
12	277	<i18n=20194>	41334,29011,0	3
13	277	<i18n=20194>	20915,49896,0	4
14	278	<i18n=20193>	27910,36896,0	1
15	278	<i18n=20193>	31570,73278,0	2
16	278	<i18n=20193>	46949,60004,0	3
17	278	<i18n=20193>	64603,44653,0	4
