TimeFrame	ShowAwardID	ShowNpcID	Desc	BossId	BossNum	FalseBossId	FalseBossNum	NpcLevel	SeriesType	AwardId	TongAwardId	PosIDs	MapID	MapName	Pos	Sort	Priority	FalsePriority	CanNotBianYi	Group
OpenLevel39	1	6000	<i18n=10092>	6000	3			55	1	2	17	1,2,7,8,13,14				11	7	0	0	1
OpenLevel39	1	6001	<i18n=5678>	6001	3			55	2	2	17	3,4,19,20,25,26				12	7	0	0	1
OpenLevel39	1	6002	<i18n=15713>	6002	3			55	3	2	17	9,10,15,16,27,28				13	7	0	0	1
OpenLevel39	1	6003	<i18n=1006>	6003	3			55	4	2	17	17,18,11,12,21,22				14	7	0	0	1
OpenLevel39	1	6004	<i18n=14844>	6004	3			55	5	2	17	29,30,5,6,23,24				15	7	0	0	1
OpenLevel49	1	6005	<i18n=10092>	6005	3			55	1	2	17	1,2,7,8,13,14				11	7	0	0	1
OpenLevel49	1	6006	<i18n=5678>	6006	3			55	2	2	17	3,4,19,20,25,26				12	7	0	0	1
OpenLevel49	1	6007	<i18n=15713>	6007	3			55	3	2	17	9,10,15,16,27,28				13	7	0	0	1
OpenLevel49	1	6008	<i18n=1006>	6008	3			55	4	2	17	17,18,11,12,21,22				14	7	0	0	1
OpenLevel49	1	6009	<i18n=14844>	6009	3			55	5	2	17	29,30,5,6,23,24				15	7	0	0	1
OpenLevel59	1	6010	<i18n=10092>	6010	1			55	1	2	17	1,2,7,8,13,14				11	7	0	0	1
OpenLevel59	1	6011	<i18n=5678>	6011	1			55	2	2	17	3,4,19,20,25,26				12	7	0	0	1
OpenLevel59	1	6012	<i18n=15713>	6012	1			55	3	2	17	9,10,15,16,27,28				13	7	0	0	1
OpenLevel59	1	6013	<i18n=1006>	6013	1			55	4	2	17	17,18,11,12,21,22				14	7	0	0	1
OpenLevel59	1	6014	<i18n=14844>	6014	1			55	5	2	17	29,30,5,6,23,24				15	7	0	0	1
OpenLevel59	1	6025	<i18n=9144>	6025	2			75	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel59	1	6026	<i18n=1093>	6026	2			75	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel59	1	6027	<i18n=10136>	6027	2			75	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel59	1	6028	<i18n=15720>	6028	2			75	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel59	1	6029	<i18n=13772>	6029	2			75	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel69	1	6015	<i18n=10092>	6015	1			55	1	2	17	1,2,7,8,13,14				11	7	0	0	1
OpenLevel69	1	6016	<i18n=5678>	6016	1			55	2	2	17	3,4,19,20,25,26				12	7	0	0	1
OpenLevel69	1	6017	<i18n=15713>	6017	1			55	3	2	17	9,10,15,16,27,28				13	7	0	0	1
OpenLevel69	1	6018	<i18n=1006>	6018	1			55	4	2	17	17,18,11,12,21,22				14	7	0	0	1
OpenLevel69	1	6019	<i18n=14844>	6019	1			55	5	2	17	29,30,5,6,23,24				15	7	0	0	1
OpenLevel69	1	6030	<i18n=9144>	6030	2			75	1	7	22	31,32,37,38,43,44				6	7	0	0	1
OpenLevel69	1	6031	<i18n=1093>	6031	2			75	2	7	22	33,34,49,50,55,56				7	7	0	0	1
OpenLevel69	1	6032	<i18n=10136>	6032	2			75	3	7	22	39,40,45,46,57,58				8	7	0	0	1
OpenLevel69	1	6033	<i18n=15720>	6033	2			75	4	7	22	47,48,41,42,51,52				9	7	0	0	1
OpenLevel69	1	6034	<i18n=13772>	6034	2			75	5	7	22	59,60,35,36,53,54				10	7	0	0	1
OpenLevel79	1	6020	<i18n=10092>	6020	1			55	1	2	17	1,2,7,8,13,14				11	7	0	0	1
