NpcName	ShowName	NpcTemplateId	NpcLevel	LevelSettingKey	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=43521>		13152	1		5552	13582	20230	0	0	191	-1	0	0			
<i18n=6105>		13136	1		5551	36982	40465	0	0	191	-1	0	0			
<i18n=45068>		13162	1			13003	18134	0	0	191	-1	0	0			
		13163	1			15192	17321	0	0	191	-1	0	0			
		13161	1			15260	20498	0	0	191	-1	0	0			
		13163	1			18879	21589	0	0	191	-1	0	0			
		13163	1			25992	28725	0	0	191	-1	0	0			
		13163	1			28634	38249	0	0	191	-1	0	0			
		13163	1			29461	42655	0	0	191	-1	0	0			
		13163	1			26737	45373	0	0	191	-1	0	0			
		13163	1			28719	47904	0	0	191	-1	0	0			
		13163	1			33531	43370	0	0	191	-1	0	0			
		13163	1			36342	42901	0	0	191	-1	0	0			
		13163	1			33777	36404	0	0	191	-1	0	0			
		13163	1			39236	42317	0	0	191	-1	0	0			
		13163	1			41525	34225	0	0	191	-1	0	0			
		13163	1			37606	30414	0	0	191	-1	0	0			
		13163	1			33077	30590	0	0	191	-1	0	0			
		13163	1			28781	29077	0	0	191	-1	0	0			
		13163	1			25883	32652	0	0	191	-1	0	0			
		13163	1			25022	35837	0	0	191	-1	0	0			
		13163	1			25111	41853	0	0	191	-1	0	0			
		13163	1			34109	25628	0	0	191	-1	0	0			
		13163	1			39919	25859	0	0	191	-1	0	0			
		13163	1			44090	29605	0	0	191	-1	0	0			
		13163	1			45312	33112	0	0	191	-1	0	0			
		13163	1			23523	23831	0	0	191	-1	0	0			
		13163	1			20347	26035	0	0	191	-1	0	0			
		13161	1			29837	34455	0	0	191	-1	0	0			
		13161	1			28617	32800	0	0	191	-1	0	0			
		13161	1			30420	31796	0	0	191	-1	0	0			
		13161	1			31220	33334	0	0	191	-1	0	0			
		13161	1			34301	39369	0	0	191	-1	0	0			
		13161	1			34373	41405	0	0	191	-1	0	0			
		13161	1			36603	37092	0	0	191	-1	0	0			
		13161	1			38834	37337	0	0	191	-1	0	0			
		13161	1			16774	19048	0	0	191	-1	0	0			
