nId	nSkillId	szName	szTypeDesc	nSect	szXinFaStageNeeded	nStagelevel	nMaxLevel	nCostPoint	nUIShowPos	szSkillPointNeeded	szPreSkillDemand	nExtraFightPower
1	11111	<i18n=56759>	<i18n=56759>	0	0	1	20	1	1		0	400
2	11112	<i18n=59248>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	1	0,0,0,6,6,6,12,12,12,18,18,18,24,24,24,30,30,30,36,36,36,42,42,42,48,48,48,54,54,54,60,60,60,66,66,66,72,72,72,78,78,78,84,84,84,90,90,90,96,96,96,102,102,102,108,108,108,114,114,114	1	400
3	11117	<i18n=57573>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	2	1,2,3,7,8,9,13,14,15,19,20,21,25,26,27,31,32,33,37,38,39,43,44,45,49,50,51,55,56,57,61,62,63,67,68,69,73,74,75,79,80,81,85,86,87,91,92,93,97,98,99,103,104,105,109,110,111,115,116,117	2	400
4	11118	<i18n=57581>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	3	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	3	400
5	11119	<i18n=57611>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	4	2,4,6,11,13,15,20,22,24,29,31,33,38,40,42,47,49,51,56,58,60,65,67,69,74,76,78,83,85,87,92,94,96,101,103,105,110,112,114,119,121,123,128,130,132,137,139,141,146,148,150,155,157,159,164,166,168,173,175,177	3	400
6	11120	<i18n=57614>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	5	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	4	400
7	11121	<i18n=57569>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	6	4,6,9,16,18,21,28,30,33,40,42,45,52,54,57,64,66,69,76,78,81,88,90,93,100,102,105,112,114,117,124,126,129,136,138,141,148,150,153,160,162,165,172,174,177,184,186,189,196,198,201,208,210,213,220,222,225,232,234,237	5	400
8	11122	<i18n=57637>	<i18n=14787>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	7	8,13,14,23,28,29,38,43,44,53,58,59,68,73,74,83,88,89,98,103,104,113,118,119,128,133,134,143,148,149,158,163,164,173,178,179,188,193,194,203,208,209,218,223,224,233,238,239,248,253,254,263,268,269,278,283,284,293,298,299	6,7	400
9	11123	<i18n=57627>	<i18n=58486>	1	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	8	13,15,17,33,35,37,53,55,57,73,75,77,93,95,97,113,115,117,133,135,137,153,155,157,173,175,177,193,195,197,213,215,217,233,235,237,253,255,257,273,275,277,293,295,297,313,315,317,333,335,337,353,355,357,373,375,377,393,395,397	8	400
10	11125	<i18n=57578>	<i18n=14787>	2	1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 10, 10, 10, 11, 11, 11, 12, 12, 12, 13, 13, 13, 14, 14, 14, 15, 15, 15, 16, 16, 16, 17, 17, 17, 18, 18, 18, 19, 19, 19, 20, 20, 20	3	60	1	1	0,0,0,6,6,6,12,12,12,18,18,18,24,24,24,30,30,30,36,36,36,42,42,42,48,48,48,54,54,54,60,60,60,66,66,66,72,72,72,78,78,78,84,84,84,90,90,90,96,96,96,102,102,102,108,108,108,114,114,114	1	400
