nConfigId	nMapId	nLocX	nLocY
1	17	55991	72350
1	17	60233	65249
1	17	47524	67819
1	17	54562	59348
1	17	105687	119111
1	17	101057	114020
1	17	39346	51210
1	17	52480	97957
1	17	39045	82246
1	17	35003	71088
1	17	68989	50366
1	17	86295	62776
1	17	79521	91126
1	17	61588	115263
1	17	99730	69152
1	17	26066	56856
1	17	37793	42738
1	17	54416	30442
1	17	22992	72796
1	66	71103	83018
1	66	75270	96829
1	66	67969	90099
1	66	84137	88570
1	66	97078	112459
1	66	57301	69450
1	66	60463	104962
1	66	95106	69448
1	66	91249	107942
1	66	81503	87660
1	66	72679	94245
1	66	90525	74357
1	66	102708	89899
1	66	50157	97933
1	66	51408	113474
1	66	55228	69879
1	66	62538	75806
1	66	102774	61055
1	66	85388	53680
1	66	117591	89372
1	66	78803	116898
1	66	82952	113079
1	66	68859	112289
1	66	68398	82918
