nBatch	nServerMaxLevel	nBossLevel	nMonsterLevel
1	39	30	30
1	49	40	40
1	59	50	50
1	69	60	60
1	79	89	89
1	89	99	99
1	99	109	109
1	109	119	119
1	119	129	129
1	129	139	139
1	139	149	149
1	149	159	159
1	159	169	169
1	169	179	179
1	179	189	189
1	189	199	199
1	199	209	209
1	209	219	219
1	219	229	229
1	229	239	239
1	239	249	249
1	249	259	259
1	259	269	269
1	269	279	279
1	279	289	289
1	289	299	299
1	299	309	309
1	309	319	319
1	319	329	329
1	329	339	339
1	339	349	349
1	349	359	359
1	359	369	369
1	369	379	379
1	379	389	389
1	389	399	399
1	399	399	399
2	39	30	30
2	49	40	40
2	59	50	50
2	69	60	60
2	79	89	89
2	89	99	99
2	99	109	109
2	109	119	119
2	119	129	129
2	129	139	139
2	139	149	149
2	149	159	159
2	159	169	169
2	169	179	179
2	179	189	189
2	189	199	199
2	199	209	209
2	209	219	219
2	219	229	229
2	229	239	239
2	239	249	249
2	249	259	259
2	259	269	269
2	269	279	279
2	279	289	289
2	289	299	299
2	299	309	309
2	309	319	319
2	319	329	329
2	329	339	339
2	339	349	349
2	349	359	359
2	359	369	369
2	369	379	379
2	379	389	389
2	389	399	399
2	399	399	399
3	39	30	30
3	49	40	40
3	59	50	50
3	69	60	60
3	79	89	89
3	89	99	99
3	99	109	109
3	109	119	119
3	119	129	129
3	129	139	139
3	139	149	149
3	149	159	159
3	159	169	169
3	169	179	179
3	179	189	189
3	189	199	199
3	199	209	209
3	209	219	219
3	219	229	229
3	229	239	239
3	239	249	249
3	249	259	259
3	259	269	269
3	269	279	279
3	279	289	289
3	289	299	299
3	299	309	309
3	309	319	319
3	319	329	329
3	329	339	339
3	339	349	349
3	349	359	359
3	359	369	369
3	369	379	379
3	379	389	389
3	389	399	399
3	399	399	399
4	39	30	30
4	49	40	40
4	59	50	50
4	69	60	60
4	79	89	89
4	89	99	99
4	99	109	109
4	109	119	119
4	119	129	129
4	129	139	139
4	139	149	149
4	149	159	159
4	159	169	169
4	169	179	179
4	179	189	189
4	189	199	199
4	199	209	209
4	209	219	219
4	219	229	229
4	229	239	239
4	239	249	249
4	249	259	259
4	259	269	269
4	269	279	279
4	279	289	289
4	289	299	299
4	299	309	309
4	309	319	319
4	319	329	329
4	329	339	339
4	339	349	349
4	349	359	359
4	359	369	369
4	369	379	379
4	379	389	389
4	389	399	399
4	399	399	399
5	39	30	30
5	49	40	40
5	59	50	50
5	69	60	60
5	79	89	89
5	89	99	99
5	99	109	109
5	109	119	119
5	119	129	129
5	129	139	139
5	139	149	149
5	149	159	159
5	159	169	169
5	169	179	179
5	179	189	189
5	189	199	199
5	199	209	209
5	209	219	219
5	219	229	229
5	229	239	239
5	239	249	249
5	249	259	259
5	259	269	269
5	269	279	279
5	279	289	289
5	289	299	299
5	299	309	309
5	309	319	319
5	319	329	329
5	329	339	339
5	339	349	349
5	349	359	359
5	359	369	369
5	369	379	379
5	379	389	389
5	389	399	399
5	399	399	399
6	39	30	30
6	49	40	40
6	59	50	50
6	69	60	60
6	79	89	89
6	89	99	99
6	99	109	109
6	109	119	119
6	119	129	129
6	129	139	139
6	139	149	149
6	149	159	159
6	159	169	169
6	169	179	179
6	179	189	189
6	189	199	199
6	199	209	209
6	209	219	219
6	219	229	229
6	229	239	239
6	239	249	249
6	249	259	259
6	259	269	269
6	269	279	279
6	279	289	289
6	289	299	299
6	299	309	309
6	309	319	319
6	319	329	329
6	329	339	339
6	339	349	349
6	349	359	359
6	359	369	369
6	369	379	379
6	379	389	389
6	389	399	399
6	399	399	399
7	39	30	30
7	49	40	40
7	59	50	50
7	69	60	60
7	79	89	89
7	89	99	99
7	99	109	109
7	109	119	119
7	119	129	129
7	129	139	139
7	139	149	149
7	149	159	159
7	159	169	169
7	169	179	179
7	179	189	189
7	189	199	199
7	199	209	209
7	209	219	219
7	219	229	229
7	229	239	239
7	239	249	249
7	249	259	259
7	259	269	269
7	269	279	279
7	279	289	289
7	289	299	299
7	299	309	309
7	309	319	319
7	319	329	329
7	329	339	339
7	339	349	349
7	349	359	359
7	359	369	369
7	369	379	379
7	379	389	389
7	389	399	399
7	399	399	399
8	39	30	30
8	49	40	40
8	59	50	50
8	69	60	60
8	79	89	89
8	89	99	99
8	99	109	109
8	109	119	119
8	119	129	129
8	129	139	139
8	139	149	149
8	149	159	159
8	159	169	169
8	169	179	179
8	179	189	189
8	189	199	199
8	199	209	209
8	209	219	219
8	219	229	229
8	229	239	239
8	239	249	249
8	249	259	259
8	259	269	269
8	269	279	279
8	279	289	289
8	289	299	299
8	299	309	309
8	309	319	319
8	319	329	329
8	329	339	339
8	339	349	349
8	349	359	359
8	359	369	369
8	369	379	379
8	379	389	389
8	389	399	399
8	399	399	399
9	39	30	30
9	49	40	40
9	59	50	50
9	69	60	60
9	79	89	89
9	89	99	99
9	99	109	109
9	109	119	119
9	119	129	129
9	129	139	139
9	139	149	149
9	149	159	159
9	159	169	169
9	169	179	179
9	179	189	189
9	189	199	199
9	199	209	209
9	209	219	219
9	219	229	229
9	229	239	239
9	239	249	249
9	249	259	259
9	259	269	269
9	269	279	279
9	279	289	289
9	289	299	299
9	299	309	309
9	309	319	319
9	319	329	329
9	329	339	339
9	339	349	349
9	349	359	359
9	359	369	369
9	369	379	379
9	379	389	389
9	389	399	399
9	399	399	399
