NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
<i18n=23102>		12203	1	39	45162	173422	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	54786	175999	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	48968	195325	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	76103	171136	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	88552	170902	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	92394	190276	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	108403	188514	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	121838	172271	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	123872	136712	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	127657	100086	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	111290	98980	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	120652	80915	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	113194	44489	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	99250	46622	0	0	191	-1	0	0			
<i18n=23102>		12203	1	39	112594	57008	0	0	191	-1	0	0			
