NpcName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	ShowName	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType		LevelSettingKey
<i18n=9474>	7015	1		65591	84629	0	1	<i18n=9474>	191	-1	0	0					
<i18n=8074>	16	1		35574	115785	0	0	<i18n=8074>	191	-1	0	0					
<i18n=12418>	26	1		49645	133355	0	0	<i18n=12418>	191	-1	0	0					
<i18n=11469>	27	1		68448	105271	0	0	<i18n=11469>	191	-1	0	0					
<i18n=13206>	20	1		95331	113920	0	1	<i18n=13206>	191	-1	0	0					
<i18n=1487>	18	1		104848	122850	0	0	<i18n=1487>	191	-1	0	0					
<i18n=1487>	18	1		104822	110593	0	0	<i18n=1487>	191	-1	0	0					
<i18n=18541>	22	1		39203	95042	0	1	<i18n=18535>	191	-1	0	0					
<i18n=2350>	17	1		24072	73792	0	0	<i18n=2350>	191	-1	0	0					
<i18n=12269>	11	1		42913	59510	0	1	<i18n=18542>	191	-1	0	0					
<i18n=6809>	13	1		71207	67009	0	0	<i18n=18543>	191	-1	0	0					
<i18n=15673>	8	1		33424	76803	0	0	<i18n=18545>	191	-1	0	0					
<i18n=1614>	10	1		65741	56431	0	1	<i18n=18540>	191	-1	0	0					
<i18n=14502>	15	1		49898	48110	0	0	<i18n=18546>	191	-1	0	0					
<i18n=12275>	12	1		43965	67529	0	1	<i18n=18547>	220	-1	0	0					
<i18n=12683>	14	1		60067	50370	0	1	<i18n=18536>	191	-1	0	0					
<i18n=14844>	7001	1		43174	79336	0	0	<i18n=14844>	191	-1	0	0					
<i18n=9965>	7195	1		90813	85284	0	0	<i18n=9965>	160	-1	0	0					
<i18n=18544>	21	1		107670	113953	0	1	<i18n=798>	160	-1	0	0					
<i18n=9275>	7201	1		51635	74313	0	1	<i18n=9275>	160	-1	0	0					
<i18n=7641>	7207	1		24040	59587	0	0	<i18n=7641>	191	-1	0	0					
<i18n=358>	33	1		39070	56410	0	0	<i18n=358>	191	-1	0	0					
<i18n=13655>	7163	70		112744	73535	0	0	<i18n=13655>	160	-1	0	0					
<i18n=961>	7229	1		100202	118744	0	0	<i18n=961>	191	-1	0	0					
<i18n=12316>	7231	1		52256	34953	0	0	<i18n=12316>	191	-1	0	0					
<i18n=1082>	7219	1		104044	65428	0	0	<i18n=1082>	191	-1	0	0					
<i18n=9152>	7220	1		108275	123778	0	0	<i18n=9152>	191	-1	0	0					
<i18n=4618>	12082	1		91973	24235	0	0	<i18n=4618>	191	-1	0	0					
<i18n=15768>	12083	1		16801	28558	0	0	<i18n=15768>	191	-1	0	0					
<i18n=2572>	12103	1		50731	64102	0	1	<i18n=13136>	160	-1	0	0					
<i18n=6826>	9255	1		60806	66889	0	1	<i18n=6826>	160	-1	0	0					
<i18n=26203>	12286	1		53001	111723	0	0		191	-1	0	0					
<i18n=28517>	38	1	195	36118	49096	0	1	<i18n=28214>	220	-1	0	0			1		
<i18n=37175>	12414	1		67268	123436	0	1	<i18n=37175>	191	-1	0	0					
<i18n=42293>	7412	10		59663	116528	0	0		220	-1	0	0			1		
<i18n=42387>	7421	90		77105	91702	0	0		220	-1	0	0			1		
<i18n=42312>	7417	90		88581	103912	0	0		191	-1	0	0			1		
<i18n=42520>	13133	1	5540	46847	92135	0	1		191	-1	0	0					
<i18n=42526>	13134	1	5541	40180	86785	0	1		191	-1	0	0					
