Index	PosX	PosY	nAwardKey
1	39904	95479	5
2	41763	93673	5
3	44348	89705	5
4	42178	87123	5
5	40189	84580	5
6	38338	82612	5
7	36618	80316	5
8	39030	77741	5
9	41724	76763	5
10	44197	74612	5
11	46014	71632	5
12	44764	67618	5
13	44600	64016	7
14	46839	61882	7
15	48945	60479	7
16	51724	58741	7
17	54140	57443	7
18	56496	58794	7
19	58830	60720	7
20	60701	63152	7
21	61931	66222	7
22	59934	68623	7
23	60371	73699	7
24	63672	76481	7
25	65582	80207	7
26	69200	82592	8
27	71894	84860	8
28	74986	87711	8
29	77536	90413	8
30	80174	93120	8
31	82421	95907	8
32	84631	98091	8
33	86900	101150	8
34	88901	103129	8
35	91353	105721	8
36	93450	107843	8
37	96844	110530	8
38	98396	112775	8
39	98658	117254	8
