PosX	PosY
47524	67819
55991	72350
60233	65249
54562	59348
43770	75445
38108	79577
35576	73320
33415	69148
29020	63338
25966	60210
28201	53208
34309	45610
38928	41140
47568	34436
71033	45312
68723	51271
84590	60657
77588	74661
65222	85089
52708	96710
51889	106244
57848	111309
67159	122334
75428	115779
83398	107734
90996	99987
100009	90750
99860	113991
103287	116375
106639	119503
107533	82556
101350	73618
98147	70042
102542	66616
92337	77491
87569	80322
48686	92091
41386	85685
35725	77342
44887	65871
48313	62742
53230	59465
53975	73469
57997	67510
64359	36719
75186	46778
86292	62425
81821	95115
78538	91203
107723	83776
