NpcTemplateId	PosX	PosY
13057	105104	118395
13063	107204	116310
13063	108043	115652
13063	108180	117197
13063	103108	120799
13063	102119	120387
13063	102897	119548
13060	96741	112381
13060	97752	113460
13060	98821	114536
13060	99846	115529
13060	100922	116686
13060	98704	110121
13060	99715	111200
13060	100703	112176
13060	101809	113269
13060	102865	114446
13060	106993	122716
13060	109106	120787
13060	108122	123686
13060	110993	122402
13060	68639	84920
13060	69536	84128
13060	73420	80173
13060	72495	81055
13060	55093	73905
13060	56397	72824
13060	61908	67889
13060	63405	66551
13063	55436	72692
13063	62603	66031
13055	63821	90107
13056	42731	77335
13056	62138	60634
13056	43915	59289
13056	47220	56301
13056	37239	49227
13057	46893	67972
13057	54801	58262
13065	45149	68118
13065	46153	70138
13065	48437	68181
13065	47000	65999
13065	52699	58341
13065	53816	60374
13065	56336	58007
13065	54688	56237
13061	20714	32577
13060	25870	36797
13060	27053	35894
13060	35139	47784
13060	33438	46218
13060	38579	45799
13060	37201	44216
13060	35834	42839
13060	31918	44876
13055	28688	56831
13060	49569	107978
13060	50937	109522
13060	52551	111067
13060	46494	105238
13060	55152	111463
13060	56772	112951
13060	66030	122024
13060	67482	123346
13060	70590	121278
13060	74509	117642
13060	77656	114117
13060	80804	111039
13060	83978	107767
13060	86844	104968
13060	91723	100397
13060	94771	97573
13060	97512	94721
13060	101907	90061
13060	105871	86232
13060	109067	83044
13060	86493	67219
13056	71211	49109
13056	67536	54039
13056	69350	46578
13056	64901	51703
13057	74319	45488
13055	52046	35722
13060	46751	93601
13060	48821	96179
13060	40124	86593
13060	38519	85196
13057	37206	80522
13060	26273	62528
13060	31567	68169
13060	24249	60490
13057	86724	61757
13057	103710	65867
13060	84545	99086
13060	82932	97405
13060	80554	95029
13056	79036	93419
13056	76495	90745
13060	74891	89348
13060	73445	87816
13056	88512	103855
13056	90549	101751
13060	58125	96685
13060	60052	94663
13060	54780	99857
13060	77351	76617
13060	89744	63987
13060	95288	68016
13060	97638	70448
13060	99863	72707
13060	101923	74938
13060	104404	77602
13056	82575	61053
13056	65162	74399
13056	54021	75208
13060	33685	70715
13060	43675	64156
13056	46594	73141
13060	47629	48013
13060	49640	45746
13060	51369	44275
13060	55174	43461
13060	57421	43911
13057	59606	46571
13060	62183	48493
13057	25764	54273
13057	54186	30343
13056	37639	70985
13057	87729	80179
13057	71245	65814
13058	43102	55978
13059	43102	54964
13058	43091	55420
13058	44039	54763
13058	43207	56394
13058	44219	55746
13058	43547	56663
13059	44220	55145
13058	43677	54641
13058	44106	56606
13058	43491	56122
13058	43374	54455
13058	44047	56163
13058	44566	56095
13058	44582	55400
13058	42806	55593
13058	43780	55325
13058	43511	55566
12391	43783	55856
