NpcTemplateId	PosX	PosY
13163	40239	95337
13163	45005	88291
13163	39212	78662
13163	47409	67046
13163	55977	62489
13163	56303	70867
13163	65611	80734
13163	75117	86708
13163	81391	92450
13163	86691	99954
13163	90317	103776
13163	100715	115490
13163	102816	110113
13163	104823	120175
13163	107914	117513
13165	42203	96241
13165	38836	93395
13165	40305	91261
13165	45744	91593
13165	42370	88908
13165	39728	87031
13165	37573	84997
13165	40748	81731
13165	34263	78419
13165	38083	74156
13165	43507	78551
13165	47022	74215
13165	43799	68488
13165	43475	63830
13165	46581	60738
13165	53726	55778
13165	57858	59191
13165	61862	62935
13165	62120	67863
13165	56326	73554
13165	53404	73983
13165	50436	71532
13165	58848	74002
13165	61242	71441
13165	65358	72901
13165	60302	76904
13165	68465	86386
13165	74073	80292
13165	74375	89753
13165	79020	94024
13165	83846	99094
13165	87710	104972
13165	91775	100943
13165	92375	108937
13165	94353	107142
13165	95532	112810
13165	94902	116788
13165	97169	118957
13165	100827	121934
13165	103422	125178
13165	99303	109065
13165	106110	109891
13165	108649	112161
13165	112486	116171
13165	105583	127226
13161	36201	75839
13161	42301	79918
13161	35475	82528
13161	43510	65753
13161	56027	57141
13161	62969	65097
13161	55369	73626
13161	64222	71113
13161	69611	85024
13161	73176	81078
13161	94573	114475
13161	104602	126235
13161	98492	120554
13161	107718	111144
13161	113362	117185
