Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	0	3344	34547	19500	-1	1	1
1	0	3343	35177	18278	-1	1	1
1	0	3343	35308	20497	-1	1	1
1	0	3344	36124	19145	-1	1	1
1	0	3344	36215	21366	-1	1	1
1	0	3344	36750	20458	-1	1	1
1	0	3344	36164	20162	-1	1	1
1	0	3344	35394	19404	-1	1	1
1	0	3344	36885	19506	-1	1	1
1	0	3344	37287	20025	-1	1	1
1	0	3344	34449	22670	-1	1	2
1	0	3344	33950	22338	-1	1	2
1	0	3344	33815	23290	-1	1	2
1	0	3346	33280	24198	-1	1	2
1	0	3346	33209	22994	-1	1	2
1	0	3344	33189	21977	-1	1	2
1	0	3344	32373	23329	-1	1	2
1	0	3344	32459	22236	-1	1	2
1	0	3344	31612	22332	-1	1	2
1	0	3344	32242	21110	-1	1	2
2	0	3403	19228	36906	-1	1	3
2	0	3403	18127	36906	-1	1	3
3	0	3421	12303	40023	-1	0	0
3	0	3421	13840	40070	-1	0	0
3	0	3421	10037	38172	-1	0	0
3	0	3421	12293	43136	-1	0	0
3	0	3421	13750	43165	-1	0	0
3	0	3421	15981	45322	-1	0	0
