Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
2	0	3347	18119	37887	-1	0	0
2	0	3347	20800	38063	-1	0	0
2	0	3344	18223	36043	-1	0	0
2	0	3344	19088	35857	-1	0	0
2	0	3344	19888	35828	-1	0	0
2	0	3344	20808	35927	-1	0	0
2	0	3344	19001	37927	-1	0	0
2	0	3344	19694	37853	-1	0	0
2	0	3344	21602	37818	-1	0	0
2	0	3344	21619	35749	-1	0	0
3	0	3344	10751	43897	-1	0	0
3	0	3344	10829	42467	-1	0	0
3	0	3344	10877	40737	-1	0	0
3	0	3344	14914	44070	-1	0	0
3	0	3344	14931	42493	-1	0	0
3	0	3344	14981	40528	-1	0	0
3	0	3346	10801	38402	-1	0	0
3	0	3346	12347	38262	-1	0	0
3	0	3346	13956	38203	-1	0	0
3	0	3346	15099	38287	-1	0	0
3	0	3346	13810	44055	-1	0	0
3	0	3346	12398	44237	-1	0	0
