Path	nX	nY	nFrame
shenmishangren_tianren_1	11650	17946	15
shenmishangren_tianren_1	21515	26635	15
shenmishangren_tianren_1	22338	28578	15
shenmishangren_tianren_1	27680	34195	15
shenmishangren_tianren_1	28869	36787	15
shenmishangren_tianren_1	37400	47374	15
shenmishangren_tianren_1	38828	50441	15
shenmishangren_tianren_1	48079	50139	15
shenmishangren_tianren_1	51117	55365	15
shenmishangren_tianren_1	42390	63188	15
shenmishangren_tianren_1	36449	56749	15
shenmishangren_tianren_1	37918	50830	15
shenmishangren_tianren_1	28566	37135	15
shenmishangren_tianren_1	21707	29270	15
shenmishangren_tianren_1	11282	18988	15
