Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
1	2	3419	19184	28910	-1	0	1
2	0	3344	25936	41591	-1	1	4
2	0	3344	26649	40711	-1	1	4
2	0	3344	27582	40961	-1	1	4
2	0	3344	27753	42738	-1	1	4
2	0	3344	27168	43640	-1	1	4
2	0	3344	26804	42107	-1	1	4
2	0	3344	26297	43728	-1	1	4
2	0	3344	25830	42835	-1	1	4
2	0	3346	29470	31539	-1	1	5
2	0	3344	30803	33623	-1	1	5
2	0	3344	30294	31347	-1	1	5
2	0	3344	29909	32810	-1	1	5
2	0	3344	29936	34466	-1	1	5
2	0	3344	30917	32250	-1	1	5
2	0	3344	29056	33948	-1	1	5
2	0	3344	28838	32642	-1	1	5
2	0	3346	19054	39483	-1	1	3
2	0	3344	18144	38965	-1	1	3
2	0	3344	19276	40724	-1	1	3
2	0	3344	17352	39835	-1	1	3
2	0	3344	18194	40410	-1	1	3
2	0	3344	17193	41411	-1	1	3
2	0	3344	17971	42160	-1	1	3
2	0	3344	18785	41991	-1	1	3
2	0	3346	18415	28124	-1	1	2
2	0	3344	18215	29278	-1	1	2
2	0	3344	18644	30272	-1	1	2
2	0	3344	19318	30395	-1	1	2
2	0	3344	20062	28634	-1	1	2
2	0	3344	19946	29927	-1	1	2
2	0	3344	19635	27644	-1	1	2
2	0	3344	18980	27496	-1	1	2
3	0	3349	31720	49960	-1	1	6
3	0	3346	30911	49228	-1	0	0
3	0	3345	30830	50743	-1	0	0
3	0	3346	31740	48375	-1	0	0
3	0	3345	32537	49062	-1	0	0
