Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
0	0	3436	36506	30265	-1	0	0
1	0	3302	22862	46476	-1	1	1
1	0	3302	22904	44096	-1	1	1
1	0	3302	25365	43405	-1	1	1
1	0	3302	23856	47596	-1	1	1
1	0	3302	26077	44706	-1	1	1
1	0	3302	25201	47899	-1	1	1
1	0	3302	26552	46277	-1	1	1
1	0	3301	25076	46141	-1	1	1
1	0	3302	24116	42784	-1	1	1
1	0	3302	24091	44909	-1	1	1
1	0	3302	28246	51642	-1	1	2
1	0	3302	29359	50297	-1	1	2
1	0	3302	28006	49871	-1	1	2
1	0	3302	30380	49001	-1	1	2
1	0	3302	29194	53068	-1	1	2
1	0	3302	30492	53488	-1	1	2
1	0	3302	31659	51900	-1	1	2
1	0	3302	29111	48439	-1	1	2
1	0	3302	31479	50048	-1	1	2
1	0	3300	30339	51600	-1	1	2
2	0	3300	32024	56627	-1	0	3
2	0	3300	32401	55137	-1	0	3
2	0	3300	33376	54378	-1	0	3
2	0	3300	34428	54548	-1	0	3
2	0	3301	32807	57780	-1	0	3
2	0	3301	33926	57775	-1	0	3
2	0	3301	34831	56900	-1	0	3
2	0	3301	35205	55512	-1	0	3
2	0	3379	33664	56019	-1	1	3
