ID	Title	AchievementSubKindID	Count	PrenticeExp	MasterMoney
1	<i18n=4650>	106	500	50	100
2	<i18n=2141>	106	2000	100	200
3	<i18n=13215>	131	5	30	60
4	<i18n=10241>	131	25	50	100
5	<i18n=16427>	221	1	30	60
6	<i18n=235>	221	7	75	150
7	<i18n=19309>	133	2	30	60
8	<i18n=19310>	133	10	50	100
9	<i18n=20604>	243	1	50	100
10	<i18n=20606>	242	1	75	150
11	<i18n=2950>	61	1	30	60
12	<i18n=8077>	61	10	50	100
13	<i18n=3734>	179	20	50	100
14	<i18n=1587>	179	30	75	150
15	<i18n=13465>	179	40	100	200
16	<i18n=9110>	81	3	50	100
17	<i18n=6715>	83	1	75	150
18	<i18n=9325>	83	3	100	200
19	<i18n=17582>	253	3	75	150
20	<i18n=17522>	253	15	100	200
21	<i18n=17619>	254	3	75	150
22	<i18n=17618>	254	15	100	200
23	<i18n=17617>	72	5	30	60
24	<i18n=17586>	72	50	50	100
25	<i18n=17533>	73	5	30	60
26	<i18n=17583>	73	50	50	100
27	<i18n=17557>	251	1	50	100
28	<i18n=17620>	250	1	75	150
29	<i18n=17506>	240	5	30	60
30	<i18n=17596>	240	25	50	100
31	<i18n=17587>	136	1	30	60
32	<i18n=17524>	136	10	50	100
33	<i18n=17531>	135	1	30	60
34	<i18n=17584>	135	10	50	100
35	<i18n=27278>	121	1	30	60
36	<i18n=27279>	121	10	50	100
37	<i18n=17553>	249	1	30	60
38	<i18n=21300>	249	3	50	100
39	<i18n=17597>	51	5	30	60
40	<i18n=17511>	51	25	50	100
41	<i18n=17546>	44	1	30	60
42	<i18n=17625>	44	3	50	100
43	<i18n=17594>	23	1	50	100
44	<i18n=17532>	24	1	75	150
45	<i18n=17552>	25	1	100	200
46	<i18n=17540>	248	1	75	150
47	<i18n=17505>	247	1	100	200
48	<i18n=17548>	246	1	50	100
49	<i18n=17579>	246	10	75	150
50	<i18n=17575>	245	4	100	200
51	<i18n=17614>	256	3	30	60
52	<i18n=17610>	256	40	50	100
53	<i18n=17621>	244	1	30	60
54	<i18n=17612>	9	1	50	100
