szKey	nSoundID	_Desc
ArenaWin	2001	<i18n=9901>
ArenaFail	2000	<i18n=5926>
GetRareEquip	1999	<i18n=10297>
OpenWindow	2003	<i18n=3885>
CloseWindow	2004	<i18n=6199>
BigRain	1216	<i18n=3546>
SmallRain	1217	<i18n=5569>
StopRain	1218	<i18n=4882>
UsePotentialItem	1523	<i18n=10464>
GetCenterMsg	1191	<i18n=519>
TLWindowOpen	1186	<i18n=5534>
OnButtonClick	1195	<i18n=13762>
OnToggleClick	1195	<i18n=12870>
WealthAscension	2005	<i18n=1201>
CastingWin	2007	<i18n=1900>
CastingFail	2008	<i18n=9591>
OpenPractice	2009	<i18n=10839>
BuildEquip	2010	<i18n=1965>
BoxShaking	2006	<i18n=3041>
BoxStopShaking	2011	<i18n=16297>
LeiGuJinJun	2128	<i18n=68961>
MingJinShouBin	2129	<i18n=68987>
