NpcName	ShowName	NpcTemplateId	NpcLevel	TitleID	XPos	YPos	ZPos	CanAutoPath	StandDir	NpcSeriesAuto	Removewhendeath	IsMapMonster	NpcPath	bPathRecycle	nShareType
鬼使	鬼使	6119	1		34163	83443	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		35664	83437	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		32680	83457	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		35689	85895	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		34213	85889	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		32698	85833	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		32691	81249	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		34179	81243	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		35628	81133	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		13722	66160	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		13704	63784	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		13715	61576	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		15203	61570	0	0	191	-1	0	0			1	
鬼使	鬼使	6119	1		15241	63789	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		15237	66216	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		16713	66222	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		16688	63764	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		16674	61541	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		49554	46103	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		48515	44651	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		50441	44617	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		49579	43047	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		67246	28272	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		66092	26785	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		68288	26734	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		67211	25385	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		41913	35541	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		40538	33687	0	0	191	-1	0	0			1	
鬼使 	鬼使 	6119	1		41875	33681	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		43164	33591	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		41894	32024	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		59725	55762	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		58802	54053	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		60661	53863	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		59766	52533	0	0	191	-1	0	0			1	
鬼奴	鬼奴	6118	1		27876	44674	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		29427	45898	0	0	191	-1	0	0			1	
鬼奴 	鬼奴 	6118 	1		29456	44645	0	0	191	-1	0	0			1	
