Batch	NpcType	NpcTemplateId	PosX	PosY	NpcSeriesAuto	ReqDeath	nTarget
0	0	3424	17547	77521	-1	0	0
1	0	3320	12491	60440	-1	1	1
1	0	3320	12533	58060	-1	1	1
1	0	3318	14994	57369	-1	1	1
1	0	3320	13592	61595	-1	1	1
1	0	3320	15706	58670	-1	1	1
1	0	3320	14830	61863	-1	1	1
1	0	3320	14705	60105	-1	1	1
1	0	3320	13745	56748	-1	1	1
1	0	3320	13720	58873	-1	1	1
1	0	3318	17316	52150	-1	1	2
1	0	3320	16367	51017	-1	1	2
1	0	3320	15355	50228	-1	1	2
1	0	3320	14160	51506	-1	1	2
1	0	3320	15347	52319	-1	1	2
1	0	3320	16315	53585	-1	1	2
1	0	3320	16457	55309	-1	1	2
1	0	3320	15219	55041	-1	1	2
1	0	3320	14118	53886	-1	1	2
1	0	3322	14245	28740	-1	1	3
1	0	3322	14563	30768	-1	1	3
1	0	3322	16379	30943	-1	1	3
1	0	3322	15205	32097	-1	1	3
1	0	3322	15578	29194	-1	1	3
1	0	3322	13050	30018	-1	1	3
1	0	3322	13075	32443	-1	1	3
1	0	3323	14109	33553	-1	1	3
1	0	3323	15347	33821	-1	1	3
1	0	3322	23608	33033	-1	1	4
1	0	3322	22485	32168	-1	1	4
1	0	3322	22803	34157	-1	1	4
1	0	3322	23445	35486	-1	1	4
1	0	3322	23587	37210	-1	1	4
1	0	3322	22349	36942	-1	1	4
1	0	3322	21315	35832	-1	1	4
1	0	3322	21290	33407	-1	1	4
1	0	3322	21290	33407	-1	1	4
