Key	AwardType	AwardSubType	Count	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut		Desc
4	Item	30776	4			1	1							什锦饼
7	Item	30775	20			1	1			1				月饼
6	Item	30776	10			1	1			1				什锦饼
6	Item	1298	1			1	1			1				幸运卡7天
6	Item	2435	1			1	1			1				蓝色要诀
8	Item	30776	10			1	1			1				什锦饼
8	Item	30101	2			1	1			1				补天石
8	Item	888	5			1	1			1				天山玉露
9	Item	30777	1			1	1			1				特殊什锦饼
9	Item	30101	5			1	1			1				补天石
9	Item	30780	1			1	1			1				面具-7天
10	Item	43638	1			1	1			1		604800		嫦娥面具-7天
11	Item	31040	1			1	1							无花果
