Key	Group	AwardType	AwardSubType	CountMin	CountMax	RandRate	TimeFrameStart	TimeFrameEnd	bCenterMsg	bSysMsg	bTongMsg	bTeamMsg	bAwardTips	bFlyTips	TimeOut	ChangeTradeLimitByMonthCard
1	1	Item	112010	1	1	100000				1			1		604800	
1	1	Item	112011	1	1	100000				1			1		604800	
1	1	Item	112012	1	1	100000				1			1		604800	
1	1	Item	112013	1	1	100000				1			1		604800	
1	1	Item	112014	1	1	100000				1			1		604800	
1	1	Item	112015	1	1	100000				1			1		604800	
1	1	Item	112016	1	1	100000				1			1		604800	
1	1	Item	112017	1	1	100000				1			1		604800	
1	1	Item	112018	1	1	100000				1			1		604800	
1	1	Item	112019	1	1	100000				1			1		604800	
2	1	Item	112020	1	1	100000				1			1		604800	
2	1	Item	112021	1	1	100000				1			1		604800	
2	1	Item	112022	1	1	100000				1			1		604800	
2	1	Item	112023	1	1	100000				1			1		604800	
2	1	Item	112024	1	1	100000				1			1		604800	
2	1	Item	112025	1	1	100000				1			1		604800	
2	1	Item	112026	1	1	100000				1			1		604800	
2	1	Item	112027	1	1	100000				1			1		604800	
2	1	Item	112028	1	1	100000				1			1		604800	
2	1	Item	112029	1	1	100000				1			1		604800	
3	1	Item	112030	1	1	100000				1			1		604800	
3	1	Item	112031	1	1	100000				1			1		604800	
3	1	Item	112032	1	1	100000				1			1		604800	
3	1	Item	112033	1	1	100000				1			1		604800	
3	1	Item	112034	1	1	100000				1			1		604800	
3	1	Item	112035	1	1	100000				1			1		604800	
3	1	Item	112036	1	1	100000				1			1		604800	
3	1	Item	112037	1	1	100000				1			1		604800	
3	1	Item	112038	1	1	100000				1			1		604800	
3	1	Item	112039	1	1	100000				1			1		604800	
4	1	Item	112040	1	1	100000				1			1		604800	
4	1	Item	112041	1	1	100000				1			1		604800	
4	1	Item	112042	1	1	100000				1			1		604800	
4	1	Item	112043	1	1	100000				1			1		604800	
4	1	Item	112044	1	1	100000				1			1		604800	
4	1	Item	112045	1	1	100000				1			1		604800	
4	1	Item	112046	1	1	100000				1			1		604800	
4	1	Item	112047	1	1	100000				1			1		604800	
4	1	Item	112048	1	1	100000				1			1		604800	
4	1	Item	112049	1	1	100000				1			1		604800	
5	1	Item	112050	1	1	100000				1			1		604800	
5	1	Item	112051	1	1	100000				1			1		604800	
5	1	Item	112052	1	1	100000				1			1		604800	
5	1	Item	112053	1	1	100000				1			1		604800	
5	1	Item	112054	1	1	100000				1			1		604800	
5	1	Item	112055	1	1	100000				1			1		604800	
5	1	Item	112056	1	1	100000				1			1		604800	
5	1	Item	112057	1	1	100000				1			1		604800	
5	1	Item	112058	1	1	100000				1			1		604800	
5	1	Item	112059	1	1	100000				1			1		604800	
6	1	Item	112060	1	1	100000				1			1		604800	
6	1	Item	112061	1	1	100000				1			1		604800	
6	1	Item	112062	1	1	100000				1			1		604800	
6	1	Item	112063	1	1	100000				1			1		604800	
6	1	Item	112064	1	1	100000				1			1		604800	
6	1	Item	112065	1	1	100000				1			1		604800	
6	1	Item	112066	1	1	100000				1			1		604800	
6	1	Item	112067	1	1	100000				1			1		604800	
6	1	Item	112068	1	1	100000				1			1		604800	
6	1	Item	112069	1	1	100000				1			1		604800	
