Name	Key	Frames	X	Y	Size
{0}	#v7u2ic5e	1	0	0	0.0625
{1}	#1	2	0.0625	0	0.0625
{2}	#2	1	0.1875	0	0.0625
{3}	#3	1	0.25	0	0.0625
{4}	#4	1	0.3125	0	0.0625
{5}	#5	2	0.375	0	0.0625
{6}	#6	2	0.5	0	0.0625
{7}	#7	2	0.625	0	0.0625
{8}	#8	2	0.75	0	0.0625
{9}	#9	2	0.875	0	0.0625
{10}	#10	1	0	0.0625	0.0625
{11}	#11	1	0.0625	0.0625	0.0625
{12}	#12	1	0.125	0.0625	0.0625
{13}	#13	1	0.1875	0.0625	0.0625
{15}	#14	1	0.25	0.0625	0.0625
{16}	#15	1	0.3125	0.0625	0.0625
{17}	#16	1	0.375	0.0625	0.0625
{18}	#17	1	0.4375	0.0625	0.0625
{19}	#18	1	0.5	0.0625	0.0625
{20}	#19	1	0.5625	0.0625	0.0625
{21}	#20	1	0.625	0.0625	0.0625
{22}	#21	1	0.6875	0.0625	0.0625
{23}	#22	1	0.75	0.0625	0.0625
{24}	#23	1	0.8125	0.0625	0.0625
{25}	#24	1	0.875	0.0625	0.0625
{26}	#25	1	0.9375	0.0625	0.0625
{27}	#26	1	0	0.125	0.0625
{28}	#27	1	0.0625	0.125	0.0625
{29}	#28	1	0.125	0.125	0.0625
{30}	#29	1	0.1875	0.125	0.0625
{37}	#30	1	0.25	0.125	0.0625
{42}	#31	1	0.3125	0.125	0.0625
{43}	#32	1	0.375	0.125	0.0625
{44}	#33	4	0.4375	0.125	0.0625
{45}	#34	4	0.6875	0.125	0.0625
{46}	#35	6	0.9375	0.125	0.0625
{49}	#36	1	0.3125	0.1875	0.0625
{55}	#37	1	0.375	0.1875	0.0625
{57}	#38	1	0.4375	0.1875	0.0625
{59}	#39	1	0.5	0.1875	0.0625
{60}	#40	1	0.5625	0.1875	0.0625
{61}	#41	1	0.625	0.1875	0.0625
{62}	#42	2	0.6875	0.1875	0.0625
{63}	#43	2	0.8125	0.1875	0.0625
{64}	#44	1	0.9375	0.1875	0.0625
{65}	#45	1	0	0.25	0.0625
{66}	#46	1	0.0625	0.25	0.0625
{67}	#47	2	0.125	0.25	0.0625
{68}	#48	1	0.25	0.25	0.0625
{69}	#49	2	0.3125	0.25	0.0625
{70}	#50	1	0.4375	0.25	0.0625
{71}	#51	1	0.5	0.25	0.0625
{72}	#52	1	0.5625	0.25	0.0625
{73}	#53	1	0.625	0.25	0.0625
{74}	#54	4	0.6875	0.25	0.0625
{75}	#55	1	0.9375	0.25	0.0625
{115}	#56	2	0	0.3125	0.0625
{116}	#57	5	0.125	0.3125	0.0625
{118}	#58	2	0.4375	0.3125	0.0625
{119}	#59	6	0.5625	0.3125	0.0625
{122}	#60	6	0.9375	0.3125	0.0625
{123}	#61	2	0.3125	0.375	0.0625
{126}	#62	2	0.4375	0.375	0.0625
{127}	#63	2	0.5625	0.375	0.0625
{129}	#64	3	0.6875	0.375	0.0625
{132}	#65	1	0.875	0.375	0.0625
{142}	#66	1	0.9375	0.375	0.0625
