nFormulaId	szMaterials	szProduct	nBagCount	bImportant	nSourceFormulaId
1	Item|1146|1;YuanBao|20	Item|1166|1	0.02	0	
2	Item|1146|1;Item|1147|1;Coin|1000	Item|1167|1	0.02	0	
3	Item|1179|1	Award|1125|22	0.1	0	
4	Item|1171|1;Item|1172|1;Item|1173|1;Item|1174|1;Item|1175|1	Item|1176|1	0.01	0	
5	Item|1178|1;Item|1171|1;Item|1172|1;Item|1173|1;Item|1174|1;Item|1175|1	Item|1177|1	0.01	1	
6	Item|1176|1	Award|1125|13	0.1	0	
7	Item|1177|1	Award|1125|14	0.1	0	
8	Item|1189|1;Item|1188|1	Item|1190|1	0.01	1	
9	Item|1190|1	Award|1134|4	0.1	0	
10	Item|1275|1;Item|1271|1;Item|1272|1;Item|1273|1;Item|1274|1	Item|1277|1	0.02	1	
11	Item|1271|1;Item|1272|1;Item|1273|1;Item|1274|1	Item|1276|1	0.02	0	
12	Item|1277|1	Award|1142|3	0.1	0	
13	Item|1276|1	Award|1142|2	0.1	0	
14	Item|1292|1;Item|1288|1;Item|1289|1;Item|1290|1;Item|1291|1	Item|1296|1	0.02	1	
15	Item|1293|1;Item|1288|1;Item|1289|1;Item|1290|1;Item|1291|1	Item|1297|1	0.02	0	
19	Item|1310|1;Item|1311|1	Item|1309|1	0.01	1	
20	Item|1310|1		0.1	0	
21	Item|1309|1	Award|1158|3	0.1	0	
22	Item|1328|1;Item|1324|1;Item|1325|1;Item|1326|1;Item|1327|1	Item|1330|1	0.02	1	
23	Item|1329|1;Item|1324|1;Item|1325|1;Item|1326|1;Item|1327|1	Item|1331|1	0.02	0	
24	Item|1330|1	Award|1163|16	0.1	0	
25	Item|1331|1	Award|1163|17	0.1	0	
26	Item|1323|1	Award|1163|17	0.1	0	
27	Item|1338|1;Item|1339|1;Item|1340|1;Item|1341|1;Item|1342|1	Item|1344|1	0.02	1	
28	Item|1338|1;Item|1339|1;Item|1340|1;Item|1341|1	Item|1345|1	0.02	0	
29	Item|1344|1	Award|1313|5	0.1	0	
30	Item|1345|1	Award|1313|6	0.1	0	
32	Item|1360|1;Item|1356|1;Item|1357|1;Item|1358|1;Item|1359|1	Item|1363|1	0.02	0	
33	Item|1361|1;Item|1356|1;Item|1357|1;Item|1358|1;Item|1359|1	Item|1364|1	0.02	1	
36	Item|1350|1	Award|1178|3	0.1	0	
37	Item|1351|1		0.1	0	
39	Item|1853|1;Item|674512|1;Item|1854|1	Item|1855|1	0.01	0	
40	Item|674515|1		0.1	0	132
41	Item|1855|1	Award|1179|25	0.1	0	39
42	Item|1380|1;Item|1382|1	Item|1381|1	0.01	0	
43	Item|1380|1		0.1	0	
44	Item|1381|1	Award|1180|11	0.1	0	
45	Item|1392|1;Item|1393|1	Item|1395|1	0.02	0	
46	Item|1392|1;Item|1394|1	Item|1396|1	0.02	0	
47	Item|1392|1		0.1	0	
48	Item|1395|1		0.1	0	
49	Item|1396|1	Award|1181|8	0.1	0	
50	Item|1602|1;Item|1603|1	Item|1605|1	0.02	0	
51	Item|1602|1;Item|1604|1	Item|1606|1	0.02	0	
52	Item|1605|1	Award|1194|14	0.1	0	
53	Item|1606|1	Award|1194|13	0.1	0	
59	Item|1620|1;Item|1621|1;Item|1619|1	Item|1623|1	0.02	0	
60	Item|1620|1;Item|1621|1	Item|1622|1	0.02	0	
61	Item|1623|1	Award|1201|8	0.1	0	59
62	Item|1622|1	Award|1201|6	0.1	0	60
63	Item|1630|1;Item|1629|1	Item|1632|1	0.02	0	
64	Item|1630|1;Item|1629|1;Item|1631|1	Item|1633|1	0.02	0	
65	Item|1632|1	Award|1198|8	0.1	0	63
66	Item|1633|1	Award|1198|9	0.1	0	64
67	Item|1637|1;Item|1638|1;Item|1639|1	Item|1641|1	0.02	0	
