Type	PosX	PosY
PILLAR_1	71845	58261
SOLDIER	73405	58307
SOLDIER	72603	56246
SOLDIER	71056	56860
SOLDIER	69826	58831
SOLDIER	71350	60463
SOLDIER	73024	60787
OFFICER	72463	57394
OFFICER	70829	58116
OFFICER	72373	59451
PILLAR_2	114055	72904
SOLDIER	115714	72959
SOLDIER	114864	70759
SOLDIER	113217	71146
SOLDIER	112041	72742
SOLDIER	113209	75276
SOLDIER	115089	75356
OFFICER	114758	71937
OFFICER	113010	72497
OFFICER	114194	74149
PILLAR_3	83621	100352
SOLDIER	85193	100385
SOLDIER	84773	98453
SOLDIER	82723	98601
SOLDIER	81491	100273
SOLDIER	82709	102490
SOLDIER	84768	102560
OFFICER	84320	99518
OFFICER	82491	99892
OFFICER	83674	101654
FRONT_1	76847	117784
FRONT_2	90291	47561
