PosX	PosY
50396	87753
46198	95655
46123	85793
42493	90555
50487	94368
53418	99875
47903	107379
53773	112981
40892	111989
63826	98196
59935	95475
54871	84665
47508	77090
54871	68919
68531	83814
76914	85378
76677	98095
86071	93528
90603	98942
80581	102613
71466	93904
78245	111058
70068	105868
74933	118278
67047	110547
85822	118345
93570	129436
90588	113393
92329	122625
96396	106361
102376	112449
83074	126804
96651	114639
115726	120330
111660	126755
100216	126890
97958	133071
101149	135935
105368	120326
113154	133973
111879	115541
106543	109021
100597	103043
98214	83447
94333	88799
89977	78423
86799	85452
106695	69848
89296	64944
101364	65667
93868	60641
104922	55020
114047	50629
108076	45392
118156	60805
114172	40635
119974	43153
99549	40157
94455	47709
89311	52330
84637	47129
95050	35443
90278	41598
78012	37672
87708	30722
68616	34959
76965	32479
74574	43215
70959	39997
73140	30963
79219	64374
74140	52677
82780	60672
78153	56706
69766	59334
71734	65871
78078	70467
65933	51212
58147	46960
56087	41665
53557	48437
60559	40404
63958	44873
61323	53979
56874	30322
54565	34706
47537	33015
47339	43406
38303	64514
43955	57582
39050	53341
32208	49391
38572	43089
19075	47696
46222	66941
52577	58005
51423	65004
25462	63936
11416	108717
27161	75198
31876	65830
40251	74917
32768	80499
18957	77629
14226	95968
20685	92102
26757	84546
31070	93603
33254	106996
27167	99740
36842	100045
35117	28804
22525	38450
40265	35557
27860	43564
26834	34128
