Path	nX	nY	nFrame
shenmishangren_wudan_1	38898	32997	15
shenmishangren_wudan_1	37313	35620	15
shenmishangren_wudan_1	34240	39378	15
shenmishangren_wudan_1	31191	36686	15
shenmishangren_wudan_1	25256	42462	15
shenmishangren_wudan_1	22150	49868	15
shenmishangren_wudan_1	20485	49373	15
shenmishangren_wudan_1	17128	52260	15
shenmishangren_wudan_1	13958	48051	30
shenmishangren_wudan_1	17025	52512	15
shenmishangren_wudan_1	13985	55784	15
shenmishangren_wudan_1	20565	62681	15
shenmishangren_wudan_1	27748	55631	15
shenmishangren_wudan_1	31586	47117	15
shenmishangren_wudan_1	35975	43041	15
shenmishangren_wudan_1	34301	39535	15
shenmishangren_wudan_1	37404	35754	15
