nTowerLevel	nNpcTemplateId	PosX	PosY	Delay	szParams
30	13036	23323	33291	30	
31	13051	22136	38706	1	
31	13052	22158	33402	1	
31	13053	23276	28083	1	
31	13054	28508	33819	1	
32	13051	22136	38706	1	
32	13052	22158	33402	1	
32	13053	23276	28083	1	
32	13054	28508	33819	1	
33	13051	22136	38706	1	
33	13052	22158	33402	1	
33	13053	23276	28083	1	
33	13054	28508	33819	1	
34	13051	22136	38706	1	
34	13052	22158	33402	1	
34	13053	23276	28083	1	
34	13054	28508	33819	1	
35	13046	23323	33291	30	
35	13051	22136	38706	1	
35	13052	22158	33402	1	
35	13053	23276	28083	1	
35	13054	28508	33819	1	
40	13037	23323	33291	30	
45	13047	23323	33291	30	
50	13048	23323	33291	30	
126	12501	21553	38778	1	5
127	12501	25203	27520	1	6
128	12501	27003	37326	1	1
129	12501	23436	33538	1	2
130	12501	27003	37326	1	1
136	12501	21553	38778	1	5
137	12501	25203	27520	1	6
138	12501	27003	37326	1	1
139	12501	23436	33538	1	2
140	12501	27003	37326	1	1
141	12501	19540	37978	1	3
141	12501	19689	28740	1	4
142	12501	17565	33643	1	7
142	12501	23289	39219	1	8
143	12501	21553	38778	1	5
143	12501	27003	37326	1	1
144	12501	25203	27520	1	6
144	12501	23436	33538	1	2
145	12501	27003	37326	1	1
145	12501	23436	33538	1	2
146	12501	21553	38778	1	5
147	12501	25203	27520	1	6
148	12501	27003	37326	1	1
149	12501	23436	33538	1	2
150	12501	27003	37326	1	1
130	13036	23323	33291	30	
131	13051	22136	38706	1	
131	13052	22158	33402	1	
131	13053	23276	28083	1	
131	13054	28508	33819	1	
132	13051	22136	38706	1	
132	13052	22158	33402	1	
132	13053	23276	28083	1	
132	13054	28508	33819	1	
133	13051	22136	38706	1	
133	13052	22158	33402	1	
133	13053	23276	28083	1	
133	13054	28508	33819	1	
134	13051	22136	38706	1	
134	13052	22158	33402	1	
134	13053	23276	28083	1	
134	13054	28508	33819	1	
135	13046	23323	33291	30	
135	13051	22136	38706	1	
135	13052	22158	33402	1	
135	13053	23276	28083	1	
135	13054	28508	33819	1	
140	13037	23323	33291	30	
145	13047	23323	33291	30	
150	13048	23323	33291	30	
