PosX	PosY
20110	37478
21367	37325
22474	37468
24071	37383
25170	38585
26041	37653
26899	36316
25952	35829
24181	35101
22856	36291
21169	35775
22224	34805
19269	34921
20269	34084
20070	31692
20881	30064
21342	33116
22032	30727
23323	33291
22981	31776
25042	33602
23499	30316
25113	30716
26242	33773
26385	30631
27613	34030
27524	30239
26913	32202
18957	30431
18428	33402
19185	36744
22136	38706
23512	38545
25095	36483
25671	31912
24085	28831
22042	28717
25885	29002
28279	31861
27942	35602
18505	35218
18491	31720
19988	29342
21009	28502
23276	28083
28508	33819
26438	34799
23849	36310
