nPath	nIndex	PosX	PosY
1	1	27003	37326
1	2	23320	39030
1	3	19691	37536
1	4	17734	33622
1	5	20101	29014
1	6	23257	28088
1	7	26761	29077
1	8	28665	33075
1	9	25445	35705
1	10	21563	35769
1	11	20679	32297
1	12	23415	30445
1	13	26056	32886
1	14	23594	33812
2	1	23436	33538
2	2	20814	33559
2	3	21290	31055
2	4	25712	30971
2	5	26697	33454
2	6	25519	36021
2	7	21521	36084
2	8	18168	33475
2	9	19943	28930
2	10	26915	28803
2	11	29170	33244
2	12	26266	38315
2	13	20185	37768
3	1	19540	37978
3	2	26718	38104
3	3	19428	29035
3	4	26909	28761
4	1	19689	28740
4	2	26876	37725
4	3	19333	37578
4	4	27102	29099
5	1	21553	38778
5	2	19080	36484
5	3	18702	31139
5	4	21742	27604
6	1	25203	27520
6	2	28044	29919
6	3	27918	36568
6	4	25109	38714
7	1	17565	33643
7	2	29370	33307
8	1	23289	39219
8	2	23310	27310
