nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	szBossNpcId	nMoreThan	szTargetDesc	szProcessDesc	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
11	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	20729	16062	120|9999	100|119	80|99	60|79	1	0
12	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	20729	16062	120|9999	100|119	80|99	60|79	1	0
13	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	20729	16062	120|9999	100|119	80|99	60|79	1	0
14	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	20729	16062	120|9999	100|119	80|99	60|79	1	0
15	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	20729	16062	120|9999	100|119	80|99	60|79	1	0
36	6	120	30	60	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	23323	33291	120|9999	100|119	80|99	60|79		0
37	6	120	30	60	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	23323	33291	120|9999	100|119	80|99	60|79		0
38	6	120	30	60	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	23323	33291	120|9999	100|119	80|99	60|79		0
39	6	120	30	60	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	23323	33291	120|9999	100|119	80|99	60|79		0
40	6	120	30	60	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	23323	33291	120|9999	100|119	80|99	60|79		0
61	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|2000;12493|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	18777	23885	120|9999	100|119	80|99	60|79		0
62	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|2000;12493|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	18777	23885	120|9999	100|119	80|99	60|79		0
63	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|2000;12493|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	18777	23885	120|9999	100|119	80|99	60|79		0
64	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|2000;12493|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	18777	23885	120|9999	100|119	80|99	60|79		0
65	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|2000;12493|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	18777	23885	120|9999	100|119	80|99	60|79		0
86	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|2000;12495|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	21584	26882	120|9999	100|119	80|99	60|79		0
87	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|2000;12495|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	21584	26882	120|9999	100|119	80|99	60|79		0
88	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|2000;12495|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	21584	26882	120|9999	100|119	80|99	60|79		0
89	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|2000;12495|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	21584	26882	120|9999	100|119	80|99	60|79		0
90	6	120	30	70	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|2000;12495|40|2000	3	40		60	<i18n=37740>	<i18n=37694>	15	7040	5	21584	26882	120|9999	100|119	80|99	60|79		0
111	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	20729	16062	480|9999	360|479	240|359	120|239		0
112	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	20729	16062	480|9999	360|479	240|359	120|239		0
113	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	20729	16062	480|9999	360|479	240|359	120|239		0
114	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	20729	16062	480|9999	360|479	240|359	120|239		0
115	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	20729	16062	480|9999	360|479	240|359	120|239		0
136	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	23323	33291	480|9999	360|479	240|359	120|239		0
137	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12490|10|2000;12491|40|2000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	23323	33291	480|9999	360|479	240|359	120|239		0
138	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	23323	33291	480|9999	360|479	240|359	120|239		0
139	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	23323	33291	480|9999	360|479	240|359	120|239		0
140	6	120	30	80	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12490|10|2000;12491|40|2000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	23323	33291	480|9999	360|479	240|359	120|239		0
161	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|1000;12493|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	18777	23885	480|9999	360|479	240|359	120|239		0
162	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12492|10|1000;12493|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	18777	23885	480|9999	360|479	240|359	120|239		0
163	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|1000;12493|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	18777	23885	480|9999	360|479	240|359	120|239		0
164	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|1000;12493|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	18777	23885	480|9999	360|479	240|359	120|239		0
165	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12492|10|1000;12493|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	18777	23885	480|9999	360|479	240|359	120|239		0
186	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|1000;12495|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	21584	26882	480|9999	360|479	240|359	120|239		0
187	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12494|10|1000;12495|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	21584	26882	480|9999	360|479	240|359	120|239		0
188	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|1000;12495|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	21584	26882	480|9999	360|479	240|359	120|239		0
189	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|1000;12495|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	21584	26882	480|9999	360|479	240|359	120|239		0
190	6	120	30	90	12612|1|200000;12613|30|200000;12614|60|200000;12615|90|200000;12616|10|20000;12617|40|20000;12618|70|20000;12619|100|20000;12494|10|1000;12495|40|1000	3	40		120	<i18n=38410>	<i18n=37694>	15	7040	5	21584	26882	480|9999	360|479	240|359	120|239		0
