nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	nMoreThan	szTargetDesc	szProcessDesc	nInteractNpcId	nInteractNpcNum	nMaxInteractCount	nInteractTime	nInteractCd	szOccupyMsg	szNotCdReady	szMaxInteractNumMsg	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
21	6	120	30	60	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	8|11		0
22	6	120	30	60	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	8|11		0
23	6	120	30	60	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	8|11		0
24	6	120	30	60	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	8|11		0
25	6	120	30	60	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	20729	16062	20|99	16|19	12|15	8|11		0
46	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12490|10|2000;12491|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	8|11		0
47	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12490|10|2000;12491|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	8|11		0
48	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12490|10|2000;12491|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	8|11		0
49	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12490|10|2000;12491|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	8|11		0
50	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12490|10|2000;12491|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	23323	33291	20|99	16|19	12|15	8|11		0
71	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12492|10|2000;12493|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	8|11		0
72	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12492|10|2000;12493|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	8|11		0
73	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12492|10|2000;12493|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	8|11		0
74	6	120	30	60	12624|1|200000;12625|30|200000;12626|60|200000;12627|90|200000;12628|10|20000;12629|40|20000;12630|70|20000;12631|100|20000;12492|10|2000;12493|40|2000	3	40	8	<i18n=37728>	<i18n=37505>	12500	4	1	5	0	<i18n=37481>	<i18n=37477>	<i18n=37478>	15	7040	5	18777	23885	20|99	16|19	12|15	8|11		0
