nLevel	nPrepareTime	nChallengeTime	nSettleTime	nNpcLevel	szMonsterRefreshParam	nRefreshInterval	nMonsterMaxNum	nLessThan	szTargetDesc	szProcessDesc	szProtectNpcId	nProtectNpcRevive	nGouHuoExistTime	nGouHuoBaseExp	nGouHuoPeriodTime	nGouHuoPosX	nGouHuoPosY	szSLevel	szALevel	szBLevel	szCLevel	nCanUseRobot	nPlayerCamp
6	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1	1	0
7	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1	1	0
8	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1	1	0
9	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1	1	0
10	6	120	30	50	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1	1	0
31	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
32	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
33	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
34	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
35	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
56	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
57	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
58	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
59	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
60	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|2000;12493|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
81	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
82	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
83	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
84	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
85	6	120	30	50	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|2000;12495|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
106	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1		0
107	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1		0
108	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1		0
109	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1		0
110	6	120	30	80	13000|1|200000;13003|30|200000;13006|60|200000;13009|90|200000;13001|10|20000;13003|40|20000;13006|70|20000;13009|100|20000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	20729	16062	4|4	3|3	2|2	1|1		0
131	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
132	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
133	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
134	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
135	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12490|10|2000;12491|40|2000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	23323	33291	4|4	3|3	2|2	1|1		0
156	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
157	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
158	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
159	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
160	6	120	30	80	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12492|10|1000;12493|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	18777	23885	4|4	3|3	2|2	1|1		0
181	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
182	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
183	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
184	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
185	6	120	30	90	12600|1|200000;12601|30|200000;12602|60|200000;12603|90|200000;12604|10|20000;12605|40|20000;12606|70|20000;12607|100|20000;12494|10|1000;12495|40|1000	3	40	4	<i18n=37508>	<i18n=37485>	13051|13052|13053|13054	0	15	7040	5	21584	26882	4|4	3|3	2|2	1|1		0
