Type	PosX	PosY
FIGHT_POS_1	18016	103097
FIGHT_POS_1	28703	113039
FIGHT_POS_1	41032	116719
FIGHT_POS_1	34124	99044
FIGHT_POS_1	25027	89875
FIGHT_POS_1	36949	72501
FIGHT_POS_1	50218	77739
FIGHT_POS_1	45071	64481
FIGHT_POS_1	53324	56211
FIGHT_POS_1	59394	68443
FIGHT_POS_1	66128	43275
FIGHT_POS_1	76985	51798
FIGHT_POS_1	76560	32847
FIGHT_POS_1	86349	42367
FIGHT_POS_1	93634	54346
FIGHT_POS_1	75348	82000
FIGHT_POS_1	67272	90247
FIGHT_POS_1	80801	95018
FIGHT_POS_1	71566	104355
FIGHT_POS_1	59059	98426
FIGHT_POS_1	20944	118772
FIGHT_POS_1	59476	124488
FIGHT_POS_1	72955	95330
FIGHT_POS_1	79916	70518
FIGHT_POS_1	70508	72547
FIGHT_POS_1	60260	58976
FIGHT_POS_1	51796	66251
FIGHT_POS_1	40709	52051
FIGHT_POS_1	93592	43168
FIGHT_POS_1	90724	85348
FIGHT_POS_1	100372	83147
FIGHT_POS_1	95725	70658
RES_POS_1	18016	103097
RES_POS_1	28618	113109
RES_POS_1	41032	116719
RES_POS_1	34124	99044
RES_POS_1	25027	89875
RES_POS_1	36949	72501
RES_POS_1	50218	77739
RES_POS_1	45071	64481
RES_POS_1	53324	56211
RES_POS_1	59394	68443
RES_POS_1	66128	43275
RES_POS_1	76985	51798
RES_POS_1	76560	32847
RES_POS_1	86349	42367
RES_POS_1	93634	54346
RES_POS_1	75348	82000
RES_POS_1	67272	90247
RES_POS_1	80801	95018
RES_POS_1	71566	104355
RES_POS_1	59059	98426
RES_POS_1	20944	118772
RES_POS_1	59476	124488
RES_POS_1	72955	95330
RES_POS_1	79916	70518
RES_POS_1	70508	72547
RES_POS_1	60260	58976
RES_POS_1	51796	66251
RES_POS_1	40709	52051
RES_POS_1	93592	43168
RES_POS_1	90724	85348
RES_POS_1	100372	83147
RES_POS_1	95725	70658
FIGHT_POS_2	84976	153679
FIGHT_POS_2	83806	142085
FIGHT_POS_2	96765	154605
FIGHT_POS_2	95581	143815
FIGHT_POS_2	84984	125505
FIGHT_POS_2	88975	115982
FIGHT_POS_2	99512	128410
FIGHT_POS_2	97394	113286
FIGHT_POS_2	114934	123929
FIGHT_POS_2	114304	111571
FIGHT_POS_2	107020	127856
FIGHT_POS_2	104177	138008
FIGHT_POS_2	125875	112866
FIGHT_POS_2	126977	124104
FIGHT_POS_2	128780	130546
FIGHT_POS_2	111521	140314
RES_POS_2	84976	153679
RES_POS_2	83806	142085
RES_POS_2	96765	154605
RES_POS_2	95581	143815
RES_POS_2	104197	154433
RES_POS_2	78892	126240
RES_POS_2	84984	125505
RES_POS_2	88975	115982
RES_POS_2	99512	128410
RES_POS_2	97394	113286
RES_POS_2	104799	111676
RES_POS_2	114934	123929
RES_POS_2	114304	111571
RES_POS_2	107020	127856
RES_POS_2	104177	138008
RES_POS_2	125875	112866
RES_POS_2	126977	124104
RES_POS_2	128780	130546
RES_POS_2	111521	140314
RES_POS_2	119406	114810
RES_POS_2	91716	149348
RES_POS_2	89646	136972
RES_POS_2	95632	122714
RES_POS_2	103418	130712
RES_POS_2	101612	148577
RES_POS_2	109582	117083
RES_POS_2	123233	118817
RES_POS_2	120970	128929
RES_POS_2	108595	135671
RES_POS_2	96532	131096
RES_POS_2	93394	141876
RES_POS_2	94274	115940
FIGHT_POS_3	130135	163662
FIGHT_POS_3	133753	149299
FIGHT_POS_3	117078	165947
FIGHT_POS_3	121213	153379
FIGHT_POS_3	127280	172952
FIGHT_POS_3	141798	158495
FIGHT_POS_3	125547	157774
FIGHT_POS_3	135508	168728
RES_POS_3	130140	163669
